player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jadeveon Clowney,8636,ED,CAR,14,1,5.5,100.0,12.4,22.5,22.5,2,0,0,0.0,5,65.2,70.8,47.2,73.2,63.4,45.3,0,15,46.2,6,0,4,118.8,2,49,395,10,6,2,0,30,19,0.7,15.0
Khalil Mack,8640,ED,LAC,16,1,5.0,100.0,4.0,14.0,14.0,0,0,0,0.0,27,81.4,90.4,79.2,79.9,88.0,52.1,0,11,16.7,1,0,1,112.5,1,16,404,8,4,1,0,11,6,0.8,11.0
C.J. Mosley,8652,LB,NYJ,4,1,5.3,100.0,93.6,10.3,10.3,0,0,0,0.0,22,61.0,74.7,78.7,38.7,81.6,57.0,0,15,14.3,1,0,0,103.1,4,44,47,1,5,4,0,35,14,0.9,8.8
Jimmie Ward,8665,S,HST,10,11,6.1,71.4,98.0,9.1,6.5,0,0,2,4.8,13,73.9,76.1,83.2,47.2,75.6,83.3,2,63,3.0,1,1,1,102.3,30,296,302,7,21,42,3,370,188,1.4,12.3
DeMarcus Lawrence,8669,ED,DAL,4,0,,,3.3,,,0,0,0,,9,60.3,56.8,53.1,53.9,62.4,27.9,0,,100.0,3,0,1,0.0,0,3,92,3,0,0,0,0,0,0.0,
Kyle Van Noy,8675,ED,BLT,16,1,7.7,100.0,11.9,7.6,7.6,0,0,0,0.0,3,65.3,75.4,52.1,74.2,68.6,68.4,0,26,10.0,1,0,3,118.8,7,56,469,17,8,7,0,93,39,1.8,13.3
Brent Urban,8769,DI,BLT,12,2,,,3.0,,,0,0,0,,3,61.6,56.1,83.3,54.0,55.7,65.0,0,,0.0,0,0,0,0.0,0,3,101,0,0,0,0,0,0,0.0,
Shelby Harris,8869,DI,CLV,14,2,6.0,100.0,2.2,5.0,5.0,0,0,0,0.0,8,60.5,66.7,72.2,59.7,67.9,62.4,0,12,20.0,1,0,1,116.7,1,6,273,3,2,1,0,12,6,2.4,12.0
Denico Autry,8982,ED,HST,10,1,,,1.3,,,2,0,0,,13,55.8,56.0,47.5,61.0,53.8,54.8,0,,0.0,0,0,2,0.0,0,3,229,3,2,0,0,0,0,0.0,
Shaquil Barrett,9000,ED,TB,1,1,,,20.0,,,0,0,0,,30,79.3,62.1,73.3,52.9,60.0,72.0,0,,0.0,0,0,0,0.0,0,2,10,1,1,0,0,0,0,0.0,
C.J. Goodwin,9243,CB,DAL,2,0,,,50.0,,,0,0,0,,9,60.2,61.4,99.9,60.0,60.0,,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Mike Pennel,9316,DI,KC,17,1,0.0,100.0,4.0,6.0,6.0,0,0,0,0.0,16,55.1,65.2,64.7,58.7,70.2,76.0,0,21,0.0,0,0,1,118.8,1,6,150,3,0,1,0,21,21,3.5,21.0
Dante Fowler Jr.,9436,ED,WAS,17,1,0.8,100.0,6.3,5.8,5.8,0,0,0,0.0,32,81.4,62.1,42.4,65.9,50.0,29.1,1,9,40.0,4,0,4,62.5,4,23,364,14,5,4,0,34,31,1.5,8.5
Leonard Williams,9439,DI,SEA,16,1,3.0,0.0,3.3,,16.0,1,0,0,0.0,29,72.2,87.1,49.0,72.3,79.5,52.9,1,,27.3,3,0,4,0.0,0,16,489,15,7,1,0,0,0,0.0,
Arik Armstead,9450,ED,JAX,17,1,,,0.5,,,2,0,0,,15,63.8,68.7,42.4,70.0,62.0,45.6,0,,20.0,2,0,4,0.0,0,2,382,7,7,0,0,0,0,0.0,
Bud Dupree,9455,ED,LAC,17,0,-1.5,100.0,5.1,9.0,9.0,1,0,0,0.0,27,62.7,47.1,45.1,51.6,48.9,40.2,1,9,37.5,3,0,3,58.3,2,19,370,9,5,2,0,15,18,0.8,7.5
Shaq Thompson,9458,LB,CAR,4,1,2.3,93.3,87.2,7.6,7.1,0,0,0,0.0,5,62.9,67.4,19.4,52.7,73.2,51.0,0,21,27.3,3,0,1,114.2,14,116,133,3,7,15,1,91,66,0.9,6.5
Preston Smith,9471,ED,PIT,17,0,3.6,80.0,9.1,6.3,5.0,0,0,0,0.0,25,69.3,64.2,61.6,59.3,64.3,76.0,0,20,16.7,1,0,2,99.2,4,26,287,7,5,5,0,39,23,1.6,9.8
Eric Kendricks,9478,LB,DAL,15,12,3.3,64.9,89.3,18.4,11.9,0,0,0,0.0,9,62.7,75.2,87.5,78.5,78.3,65.7,2,57,20.0,10,0,0,88.3,24,477,534,12,28,37,2,326,258,0.7,13.6
Denzel Perryman,9481,LB,LAC,11,2,3.7,95.0,89.9,8.4,8.0,0,0,0,0.0,27,61.8,60.8,81.7,83.9,51.3,29.5,0,23,14.8,4,0,0,98.1,19,169,188,10,21,20,0,151,95,0.9,7.9
Ronald Darby,9483,CB,JAX,13,2,11.6,71.0,99.8,8.6,6.1,1,0,8,12.9,15,61.0,61.7,85.6,60.0,60.9,68.6,0,80,7.9,3,4,3,128.8,44,410,411,6,33,62,5,605,214,1.6,13.8
Jordan Hicks,9517,LB,CLV,12,3,5.3,76.7,87.4,12.5,9.6,0,1,3,10.0,8,70.0,77.4,52.6,72.4,77.7,64.6,0,32,0.0,0,3,1,102.8,23,306,350,11,28,30,0,265,158,0.9,11.5
Danielle Hunter,9521,ED,HST,17,2,,,1.2,,,2,0,0,,13,71.9,82.7,50.5,80.7,70.1,73.5,0,,57.1,4,0,5,0.0,0,6,507,13,1,0,0,0,0,0.0,
Za'Darius Smith,9555,ED,DET,17,1,-2.5,100.0,3.7,7.5,7.5,1,1,0,0.0,11,56.2,74.7,55.3,76.5,62.8,28.8,0,13,69.2,9,0,4,118.8,2,16,437,9,3,2,0,25,30,1.7,12.5
Kwon Alexander,9557,LB,DET,5,1,12.0,100.0,94.1,9.3,9.3,0,0,0,0.0,11,45.0,74.3,0.0,56.3,90.6,61.1,0,33,0.0,0,0,1,158.3,3,32,34,0,2,3,1,57,21,2.0,19.0
Grady Jarrett,9570,DI,ATL,17,5,,,1.3,,,1,0,0,,2,63.1,62.1,57.9,60.6,61.5,36.0,0,,36.4,4,0,3,0.0,0,6,469,4,2,0,0,0,0,0.0,
Bobby McCain,9578,S,MIN,2,0,11.0,100.0,90.3,26.0,26.0,0,0,0,0.0,18,46.1,47.6,78.0,55.6,65.9,80.6,0,12,0.0,0,0,0,116.7,1,28,31,0,2,1,0,12,1,0.5,12.0
Quandre Diggs,9633,S,TEN,8,1,8.4,78.6,99.2,20.3,15.9,0,0,0,0.0,31,70.6,73.2,90.3,55.4,70.0,87.2,0,30,4.8,1,0,0,138.1,11,237,239,8,19,14,2,107,61,0.5,9.7
Rakeem Nunez-Roches,9650,DI,NYG,15,3,,,0.3,,,0,0,0,,21,52.7,46.8,63.4,53.1,50.2,56.7,0,,37.5,3,0,2,0.0,0,1,306,2,2,0,0,0,0,0.0,
Neville Hewitt,9836,LB,HST,12,4,7.0,76.9,94.0,17.7,13.6,0,0,2,15.4,13,74.7,70.2,30.5,61.0,61.5,50.3,1,12,19.0,4,1,1,79.3,10,188,200,8,13,13,1,61,37,0.3,6.1
Troy Hill,9881,CB,TB,6,1,4.0,87.5,94.0,9.4,8.2,0,0,1,6.3,30,70.6,63.2,15.0,50.2,49.0,65.6,0,29,11.8,2,1,1,96.9,14,141,150,7,14,16,0,116,74,0.9,8.3
DeShawn Williams,9891,DI,CAR,12,2,,,1.3,,,0,0,0,,5,62.1,47.9,85.5,53.8,41.3,43.9,0,,0.0,0,0,0,0.0,0,3,226,2,3,0,0,0,0,0.0,
Alex Singleton,9994,LB,DEN,3,3,5.8,81.8,80.7,8.3,6.8,0,0,0,0.0,10,53.5,62.9,81.1,54.3,73.5,44.2,1,30,30.0,3,0,0,92.0,9,88,109,1,4,11,1,87,64,1.2,9.7
Joey Bosa,10637,ED,LAC,14,1,,,1.6,,,1,0,0,,27,60.5,63.9,6.0,64.1,73.7,43.1,0,,20.0,1,0,7,0.0,0,5,320,8,3,0,0,0,0,0.0,
Jalen Ramsey,10639,CB,MIA,17,7,8.0,70.8,92.8,12.5,8.8,0,0,7,10.8,17,71.9,76.9,69.0,76.5,85.7,43.0,2,42,20.8,10,5,5,93.5,46,607,654,9,31,65,2,546,264,1.0,11.9
DeForest Buckner,10641,DI,IND,12,2,,,0.9,,,0,0,0,,14,61.2,81.9,74.5,77.1,73.9,40.2,0,,50.0,6,0,1,0.0,0,3,335,9,4,0,0,0,0,0.0,
Leonard Floyd,10643,ED,SF,17,1,3.0,100.0,1.8,7.0,7.0,2,0,0,0.0,28,75.4,53.9,56.7,54.5,54.4,56.6,0,5,37.5,3,0,3,87.5,1,7,380,10,4,1,0,5,2,0.7,5.0
Eli Apple,10644,CB,LAC,3,0,12.3,50.0,100.0,19.5,9.8,0,0,1,25.0,27,78.6,78.0,77.6,,60.3,75.4,0,8,0.0,0,1,0,56.3,2,40,40,1,2,4,0,12,1,0.3,6.0
Artie Burns,10659,CB,SEA,2,0,5.9,50.0,92.5,9.0,4.5,0,0,2,25.0,29,89.6,88.6,76.1,73.3,59.5,59.7,0,18,25.0,1,2,0,66.7,4,37,40,1,3,8,0,44,29,1.2,11.0
Kenny Clark,10661,DI,GB,17,2,,,1.4,,,1,0,0,,12,64.4,59.3,33.5,63.1,57.1,49.0,0,,16.7,1,0,5,0.0,0,6,426,2,3,0,0,0,0,0.0,
Emmanuel Ogbah,10666,ED,MIA,16,1,5.4,62.5,11.7,10.4,6.5,1,0,0,0.0,17,52.9,59.7,74.5,51.2,72.4,41.0,1,15,42.9,6,0,2,35.4,5,55,469,7,7,8,0,40,16,0.8,8.0
Chris Jones,10671,DI,KC,15,0,,,0.4,,,2,0,0,,16,67.6,89.7,23.8,91.0,64.3,65.4,0,,33.3,1,0,7,0.0,0,2,547,7,2,0,0,0,0,0.0,
Jihad Ward,10678,DI,MIN,17,1,4.0,66.7,1.7,3.5,2.3,0,0,0,0.0,18,69.2,51.5,39.4,58.7,39.7,49.2,0,18,50.0,2,0,3,95.1,2,7,402,2,1,3,0,27,21,3.9,13.5
A'Shawn Robinson,10680,DI,CAR,16,1,,,0.3,,,0,0,1,,5,67.2,54.6,56.7,57.1,54.1,59.7,0,,28.6,2,0,3,0.0,0,1,368,7,4,0,0,0,0,0.0,
Jarran Reed,10683,DI,SEA,17,1,,,5.3,,,0,0,0,,29,61.3,70.6,87.8,73.7,58.2,72.8,0,,25.0,1,0,0,0.0,0,22,419,5,2,0,0,0,0,0.0,
Vonn Bell,10695,S,CIN,17,6,9.3,76.9,95.2,19.4,14.9,0,0,2,7.7,7,62.1,62.1,84.4,58.6,59.4,57.4,1,55,4.8,1,2,0,113.8,20,412,433,5,14,26,2,237,91,0.6,11.9
Kevin Byard,10698,S,CHI,17,6,9.8,71.1,98.3,17.2,12.2,1,1,6,13.3,6,61.6,72.8,83.2,83.0,86.0,89.6,1,28,10.3,6,5,2,90.2,32,578,588,9,46,45,1,332,190,0.6,10.4
Maliek Collins,10701,DI,SF,17,2,,,0.2,,,0,0,0,,28,66.7,57.9,56.7,70.0,42.8,28.7,0,,50.0,4,0,4,0.0,0,1,436,5,2,0,0,0,0,0.0,
Yannick Ngakoue,10703,ED,NE,11,0,,,3.2,,,0,0,0,,19,61.8,52.1,64.1,46.7,70.2,57.8,0,,0.0,0,0,1,0.0,0,6,189,3,3,0,0,0,0,0.0,
Jonathan Bullard,10706,DI,MIN,17,1,,,0.4,,,0,0,0,,18,62.6,56.1,63.2,47.4,63.4,67.4,0,,25.0,1,0,2,0.0,0,1,278,3,2,0,0,0,0,0.0,
Daryl Worley,10711,S,TEN,8,5,7.9,84.2,97.1,13.6,11.5,0,0,2,10.5,31,59.1,54.3,50.1,53.2,49.4,50.6,1,25,11.1,3,1,1,118.2,16,232,239,5,19,19,2,175,75,0.8,10.9
Kendall Fuller,10718,CB,MIA,11,3,10.6,62.8,99.1,11.9,7.5,1,0,5,11.6,17,62.4,66.2,85.6,72.1,75.1,73.2,0,22,7.9,3,5,1,92.8,27,342,345,8,32,43,1,316,63,1.0,11.7
Nick Vigil,10721,LB,DAL,5,3,6.7,66.7,84.2,29.5,19.7,0,0,0,0.0,9,68.8,48.3,82.3,43.6,31.1,45.2,0,4,0.0,0,0,0,70.1,2,64,76,1,5,3,0,7,11,0.1,3.5
Justin Simmons,10732,S,ATL,16,2,10.7,64.7,97.5,26.4,17.1,0,0,5,14.7,2,60.8,59.9,94.2,56.7,53.8,44.5,2,40,14.3,6,4,0,105.1,22,613,629,11,34,34,5,278,87,0.5,12.6
Eric Murray,10740,S,HST,17,2,11.2,62.7,97.2,15.3,9.6,2,0,8,15.7,13,62.9,61.7,20.5,54.0,64.5,45.3,1,38,17.8,8,7,5,103.9,32,521,536,9,35,51,4,386,161,0.8,12.1
Miles Killebrew,10745,S,PIT,1,0,,,100.0,,,0,0,0,,25,60.0,64.2,71.0,,61.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
De'Vondre Campbell,10749,LB,SF,13,11,2.1,86.8,94.7,8.2,7.1,0,0,1,1.9,28,59.1,58.3,81.8,52.6,57.4,48.4,0,32,14.0,6,1,1,103.5,46,394,416,9,26,53,1,388,308,1.0,8.4
David Onyemata,10754,DI,ATL,17,0,,,1.3,,,0,0,0,,2,60.0,66.2,86.9,61.3,64.5,61.8,0,,60.0,3,0,0,0.0,0,4,318,5,2,0,0,0,0,0.0,
Andrew Billings,10756,DI,CHI,8,0,,,1.4,,,0,0,0,,6,59.7,62.5,64.4,78.6,50.0,51.8,0,,0.0,0,0,1,0.0,0,2,146,2,1,0,0,0,0,0.0,
Deon Bush,10758,S,KC,1,0,4.0,100.0,100.0,7.0,7.0,0,0,0,0.0,16,67.3,69.5,70.2,,60.8,77.8,0,8,0.0,0,0,0,100.0,1,7,7,0,1,1,0,8,4,1.1,8.0
Matthew Judon,10780,ED,ATL,17,2,5.9,66.7,21.0,8.5,5.7,0,0,1,6.7,2,31.1,43.0,30.6,53.9,53.6,48.3,1,33,26.7,4,0,5,104.2,10,87,415,12,9,15,2,125,67,1.5,12.5
Quinton Jefferson,10781,DI,BUF,12,1,,,0.6,,,0,0,0,,4,59.9,50.5,83.6,54.9,47.4,41.2,0,,0.0,0,0,1,0.0,0,1,170,2,1,0,0,0,0,0.0,
DJ Reader,10800,DI,DET,15,0,,,0.6,,,0,0,0,,11,63.3,65.4,73.7,64.6,61.0,58.1,0,,,0,0,1,0.0,0,2,316,3,0,0,0,0,0,0.0,
Kamu Grugier-Hill,10842,LB,MIN,10,2,7.4,55.0,82.5,9.0,5.0,0,0,1,5.0,18,39.8,36.4,80.0,44.8,48.1,45.4,2,30,15.4,2,1,0,34.6,11,104,126,2,9,20,0,126,65,1.3,11.5
Elandon Roberts,10848,LB,PIT,17,2,2.8,72.7,79.4,10.3,7.5,0,0,0,0.0,25,50.9,77.2,81.5,65.4,90.4,45.4,0,57,28.6,4,0,0,107.2,16,177,223,6,8,22,0,235,171,1.4,14.7
Jalen Mills,10867,S,NYJ,9,7,13.0,52.4,98.0,21.4,11.2,1,0,3,14.3,22,61.6,63.4,42.7,52.3,68.4,46.4,1,39,12.0,3,2,2,69.3,11,250,255,2,15,21,1,139,60,0.6,12.6
Mike Hilton,10898,CB,CIN,16,5,5.1,78.3,88.5,8.5,6.6,0,1,3,5.0,7,68.4,75.8,32.7,58.0,91.7,77.1,1,28,9.3,4,2,2,105.6,47,422,477,17,34,60,3,421,228,1.1,9.0
Michael Pierce,11101,DI,BLT,11,2,3.0,0.0,3.9,,5.0,0,0,0,0.0,3,75.1,80.6,83.8,65.0,67.3,64.5,1,,0.0,0,0,0,0.0,0,6,154,4,2,1,0,0,0,0.0,
Morgan Fox,11184,DI,LAC,17,0,,,2.3,,,0,0,0,,27,59.8,52.9,86.7,57.9,46.3,59.0,0,,100.0,1,0,0,0.0,0,9,393,4,0,0,0,0,0,0.0,
Jonathan Jones,11217,CB,NE,17,5,10.4,75.0,99.5,10.2,7.7,0,0,6,11.5,19,61.1,60.7,86.3,57.5,55.2,75.9,0,69,4.4,2,3,3,146.1,39,425,427,11,38,52,7,523,211,1.3,13.4
Roy Robertson-Harris,11341,DI,SEA,17,0,,,3.0,,,1,0,0,,29,56.0,52.9,55.1,54.6,56.6,33.9,0,,50.0,1,0,2,0.0,0,7,233,2,1,0,0,0,0,0.0,
Antonio Hamilton Sr.,11353,CB,ATL,2,0,9.3,100.0,88.5,5.5,5.5,0,0,0,0.0,2,37.2,29.6,79.0,52.9,28.5,27.3,0,23,50.0,1,0,0,147.9,4,23,26,1,1,4,3,40,16,1.8,10.0
Myles Garrett,11756,ED,CLV,17,0,6.0,100.0,3.4,8.5,8.5,1,0,0,0.0,8,65.2,92.3,45.1,92.8,78.4,73.8,0,16,25.0,1,0,6,114.6,2,17,494,17,3,2,0,23,11,1.4,11.5
Solomon Thomas,11758,DI,NYJ,16,0,,,0.4,,,1,0,1,,22,58.6,45.6,26.8,61.2,41.5,29.9,0,,57.1,4,1,5,0.0,0,1,263,4,3,0,0,0,0,0.0,
Jamal Adams,11761,S,DET,4,1,-1.0,100.0,68.8,2.8,2.8,0,0,0,0.0,11,35.5,43.0,76.2,50.2,62.5,36.6,0,21,33.3,1,0,0,115.6,4,11,16,0,1,4,0,47,51,4.3,11.8
Marshon Lattimore,11766,CB,WAS,9,2,11.6,54.2,99.4,23.5,12.7,1,0,6,25.0,32,71.8,70.0,86.8,55.3,54.3,69.7,0,45,7.7,2,5,5,87.3,13,328,330,8,22,24,1,151,51,0.5,11.6
Haason Reddick,11768,ED,NYJ,10,1,12.5,50.0,8.4,18.0,9.0,0,0,0,0.0,22,61.3,53.5,68.4,52.9,56.3,70.4,0,5,40.0,2,0,1,56.3,1,22,263,2,2,2,0,5,3,0.3,5.0
Malik Hooker,11770,S,DAL,17,3,13.5,64.5,98.9,29.3,18.9,0,2,3,9.7,9,57.8,65.3,88.0,62.0,77.8,64.3,2,70,5.0,2,3,0,109.1,20,628,635,8,35,31,4,302,144,0.5,15.1
Marlon Humphrey,11771,CB,BLT,16,10,7.3,61.4,94.5,10.5,6.5,2,1,10,12.0,3,83.4,81.0,22.5,66.3,72.7,59.7,6,41,12.7,8,10,11,61.2,51,586,620,18,45,83,3,518,208,1.0,10.2
Adoree' Jackson,11773,CB,NYG,14,1,13.0,54.5,100.0,14.5,7.9,1,0,5,15.2,21,64.5,69.0,85.4,,85.8,55.0,0,31,14.3,3,5,4,93.8,18,276,276,9,17,33,2,206,73,0.8,11.4
Charles Harris,11777,ED,PHI,12,0,4.0,100.0,12.3,5.3,5.3,0,0,0,0.0,24,29.3,54.1,87.6,58.9,58.7,28.9,0,23,44.4,4,0,0,118.8,6,33,269,5,5,6,0,83,59,2.6,13.8
Jabrill Peppers,11780,S,NE,6,5,2.9,70.0,93.3,27.4,19.2,0,0,1,10.0,19,81.7,82.3,83.4,46.3,74.7,76.7,1,13,11.1,2,1,0,39.2,7,208,223,4,11,10,0,44,36,0.2,6.3
Takk McKinley,11781,ED,NYJ,7,0,,,4.3,,,0,0,0,,22,61.2,50.0,39.8,57.7,49.4,29.9,0,,,0,0,1,0.0,0,3,70,1,0,0,0,0,0,0.0,
Tre'Davious White,11782,CB,BLT,11,1,12.6,63.0,99.6,13.2,8.3,2,0,5,18.5,3,54.4,52.9,40.2,58.7,51.5,66.8,0,52,0.0,0,4,6,127.3,17,247,248,2,13,27,4,215,49,1.0,12.6
T.J. Watt,11785,ED,PIT,17,2,0.5,100.0,5.0,7.0,7.0,1,0,0,0.0,25,70.2,92.2,85.6,90.1,91.4,56.0,0,7,12.5,1,0,2,84.4,4,30,606,15,5,4,0,17,15,0.6,4.3
Kevin King,11788,CB,ATL,13,1,8.5,87.5,98.5,9.1,8.0,0,0,1,12.5,2,79.3,81.7,90.1,58.8,70.9,40.7,0,25,25.0,2,1,0,114.6,7,65,66,3,5,8,0,92,50,1.4,13.1
Budda Baker,11791,S,ARZ,17,20,6.5,80.8,93.8,13.8,11.1,0,1,4,7.7,1,74.7,77.8,88.4,61.9,79.9,62.0,0,44,12.1,11,4,1,129.2,42,604,644,22,60,52,4,461,227,0.8,11.0
Marcus Maye,11794,S,LAC,11,1,11.1,50.0,97.2,27.8,13.9,0,0,3,18.8,27,69.2,72.9,83.2,57.4,73.1,57.1,1,57,23.5,4,1,0,61.2,8,241,248,4,12,16,1,87,58,0.4,10.9
Marcus Williams,11797,S,BLT,11,3,12.5,82.4,99.3,28.5,23.5,1,0,2,11.8,3,37.3,42.9,56.4,55.1,69.4,82.5,0,70,3.8,1,1,2,158.3,14,432,435,2,22,17,3,247,82,0.6,17.6
Tyus Bowser,11802,ED,MIA,9,3,-5.0,100.0,37.0,55.0,55.0,0,0,0,0.0,17,57.0,53.0,59.5,51.6,57.0,65.6,0,7,0.0,0,0,1,95.8,1,61,165,1,5,1,0,7,12,0.1,7.0
DeMarcus Walker,11806,ED,CHI,17,3,-1.0,100.0,3.0,12.0,12.0,1,0,0,0.0,6,67.0,64.7,73.2,61.3,62.3,35.8,0,6,37.5,3,0,2,91.7,1,13,428,5,2,1,0,6,7,0.5,6.0
Raekwon McMillan,11809,LB,TEN,8,5,5.9,81.8,94.5,12.8,10.5,0,0,1,9.1,31,59.0,38.8,82.2,50.6,29.6,54.4,0,20,16.7,3,0,0,106.1,9,121,128,1,10,11,0,104,39,0.9,11.6
Dalvin Tomlinson,11810,DI,CLV,16,1,,,2.2,,,0,0,0,,8,60.9,67.4,76.1,64.8,64.2,28.9,0,,0.0,0,0,1,0.0,0,7,323,6,2,0,0,0,0,0.0,
Zach Cunningham,11812,LB,DEN,2,1,,,75.0,,,0,0,0,,10,64.4,73.0,72.4,58.8,68.7,78.3,0,,0.0,0,0,0,0.0,0,3,4,0,0,0,0,0,0,0.0,
Chidobe Awuzie,11815,CB,TEN,8,2,10.4,56.0,100.0,13.1,7.4,0,0,1,4.0,31,58.4,64.4,84.0,,80.4,68.3,1,38,7.1,1,1,1,74.1,14,194,194,2,11,25,1,172,32,0.9,12.3
Ahkello Witherspoon,11821,CB,LA,13,0,12.2,69.6,99.7,9.2,6.4,3,0,7,15.2,26,58.8,61.7,85.7,60.0,66.4,49.6,1,53,16.0,4,6,4,103.1,32,319,320,5,21,46,2,415,131,1.4,13.0
Dawuane Smoot,11823,ED,BUF,11,1,,,2.8,,,0,0,0,,4,70.7,57.7,30.3,60.0,57.5,26.3,0,,33.3,1,0,3,0.0,0,6,214,2,1,0,0,0,0,0.0,
Duke Riley,11830,LB,MIA,5,1,3.3,75.0,71.0,7.3,5.5,0,0,0,0.0,17,48.6,42.9,74.0,49.6,50.7,51.0,0,20,25.0,1,0,0,131.3,3,22,31,2,2,4,1,26,24,1.2,8.7
Alex Anzalone,11831,LB,DET,10,6,4.5,75.5,86.3,8.3,6.3,0,2,5,9.4,11,73.7,67.8,57.1,59.7,56.3,70.8,0,33,4.9,2,4,2,99.3,40,366,424,16,33,53,1,356,199,1.1,8.9
Fabian Moreau,11836,CB,MIN,3,0,13.0,66.7,100.0,12.5,8.3,0,0,1,11.1,18,60.4,63.1,82.5,,77.3,80.4,0,16,0.0,0,0,2,127.8,6,82,82,1,5,9,2,66,16,0.9,11.0
Shaquill Griffin,11845,CB,MIN,17,4,12.7,53.7,100.0,14.2,7.6,1,1,4,7.4,18,62.4,64.3,86.3,,71.3,81.7,2,49,5.1,2,2,2,73.8,29,435,435,9,33,54,2,389,97,0.9,13.4
Jourdan Lewis,11846,CB,DAL,16,12,7.1,70.6,96.0,10.2,7.2,1,1,7,10.3,9,79.0,71.7,86.4,54.9,45.0,61.4,1,86,12.5,7,5,4,99.4,48,526,548,20,37,68,3,488,315,1.0,10.2
John Johnson III,11847,S,LA,2,1,5.8,80.0,100.0,9.3,7.4,0,0,0,0.0,26,88.5,90.7,81.0,,68.8,62.5,1,18,16.7,1,0,0,52.1,4,38,38,1,4,5,0,30,12,0.8,7.5
Cameron Sutton,11850,CB,PIT,9,3,9.1,60.0,91.1,11.0,6.6,1,0,2,8.0,25,49.7,53.5,82.2,65.0,65.5,54.3,0,13,16.7,2,1,1,107.0,15,175,192,3,7,25,4,92,54,0.6,6.1
Rasul Douglas,11854,CB,BUF,15,5,9.5,76.9,98.8,11.7,9.0,3,1,4,7.7,4,58.9,59.2,64.9,52.3,61.0,75.9,0,67,7.5,3,3,9,123.7,40,493,499,6,32,52,3,478,185,1.0,12.0
Trey Hendrickson,11858,ED,CIN,17,1,3.0,100.0,6.5,8.5,8.5,0,0,0,0.0,7,59.5,88.1,56.0,90.4,65.9,43.9,0,11,50.0,7,0,4,96.9,4,36,550,20,6,4,0,29,17,0.9,7.3
Eddie Jackson,11867,S,LAC,11,3,14.7,69.6,98.9,16.6,11.6,0,2,1,4.3,27,51.0,52.8,32.1,55.4,69.4,67.2,0,52,13.6,3,1,1,144.9,16,279,282,2,16,23,3,250,44,0.9,15.6
Rayshawn Jenkins,11868,S,SEA,13,4,5.8,87.5,92.1,10.6,9.3,1,0,0,0.0,29,58.0,52.5,82.0,51.4,42.8,44.4,0,30,16.7,6,0,1,115.5,28,313,340,12,26,32,1,295,179,1.0,10.5
Carl Lawson,11871,ED,DAL,15,0,-1.0,100.0,4.3,11.0,11.0,3,0,0,0.0,9,59.5,59.7,20.5,64.8,58.8,56.6,0,1,100.0,3,0,5,79.2,1,13,305,4,0,1,0,1,2,0.1,1.0
Mack Hollins,11873,WR,BUF,1,0,,,100.0,,,0,0,0,,4,60.0,60.0,62.9,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jalen Reeves-Maybin,11879,LB,DET,10,2,4.7,100.0,81.4,7.4,7.4,0,0,0,0.0,11,67.1,57.0,3.7,48.4,46.4,42.7,0,40,20.0,3,0,1,135.9,13,105,129,4,10,13,1,136,75,1.4,10.5
Grover Stewart,11899,DI,IND,17,1,,,0.3,,,1,0,0,,14,60.8,76.0,56.0,63.4,78.7,52.9,0,,28.6,2,0,3,0.0,0,1,336,6,4,0,0,0,0,0.0,
Damontae Kazee,11904,S,PIT,15,2,11.7,75.0,100.0,21.3,16.0,0,1,1,8.3,25,56.0,58.8,82.4,,68.2,80.6,1,49,0.0,0,1,0,109.7,9,201,201,4,18,12,1,162,54,0.8,18.0
Desmond King II,11906,CB,BLT,2,1,8.7,83.3,94.1,2.8,2.3,0,0,0,0.0,3,54.0,53.8,72.7,60.0,60.0,78.9,0,23,0.0,0,0,1,133.3,5,16,17,0,1,6,1,39,22,2.8,7.8
Anthony Walker Jr.,11916,LB,MIA,11,10,4.0,84.4,89.1,10.3,8.7,0,0,0,0.0,17,39.1,48.0,83.8,44.2,69.5,59.1,1,27,16.3,7,0,0,102.2,27,293,329,3,26,32,1,293,209,1.1,10.9
Matt Milano,11918,LB,BUF,4,1,3.4,80.0,90.3,10.0,8.0,0,0,0,0.0,4,40.4,48.0,78.6,75.5,56.6,27.6,0,24,40.0,4,0,0,108.8,8,84,93,1,5,10,0,101,79,1.3,12.6
Chuck Clark,11941,S,NYJ,12,6,8.6,60.0,97.5,29.2,17.5,1,0,1,5.0,22,45.1,50.8,4.5,60.0,70.5,63.9,0,26,9.4,3,1,4,115.2,12,389,399,7,23,20,4,113,51,0.3,9.4
