player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Willie Gay,57987,LB,NO,13,2,0.9,73.7,82.9,7.5,5.5,0,0,1,5.3,20,35.9,44.1,84.3,54.7,55.5,38.4,0,55,25.0,3,1,0,117.9,14,116,140,5,7,19,1,168,172,1.6,12.0
Jeremiah Owusu-Koramoah,58089,LB,CLV,8,0,5.4,81.8,78.8,10.9,8.9,0,0,1,4.5,8,52.4,80.7,83.1,77.6,91.7,29.2,1,28,33.3,8,1,0,91.7,18,208,264,6,16,22,0,232,132,1.2,12.9
Pete Werner,58093,LB,NO,13,5,3.1,82.9,90.7,10.5,8.7,0,1,1,2.4,20,69.0,69.0,86.0,45.4,68.5,65.0,0,16,6.4,3,0,0,87.8,34,380,419,20,39,41,0,208,140,0.6,6.1
Baron Browning,58095,ED,ARZ,13,2,3.9,77.8,15.0,5.0,3.9,0,0,0,0.0,1,47.7,58.0,18.8,76.3,43.5,29.5,0,23,14.3,1,0,4,102.3,7,38,253,4,4,9,0,77,45,2.2,11.0
Kenneth Murray Jr.,58099,LB,TEN,14,7,4.8,85.1,84.1,9.3,7.9,0,0,1,2.1,31,54.4,45.9,62.7,67.7,35.0,74.7,1,30,9.3,5,1,4,131.3,40,398,473,16,42,47,6,382,217,1.0,9.6
Derrick Barnes,58120,LB,DET,3,0,3.0,50.0,62.0,45.0,22.5,0,0,0,0.0,11,66.6,71.8,82.4,57.7,77.2,71.0,0,1,50.0,2,0,0,56.3,1,49,79,1,2,2,0,1,4,0.0,1.0
Vi Jones,58233,LB,ARZ,4,1,-6.0,100.0,94.4,31.0,31.0,0,0,0,0.0,1,67.6,71.7,72.9,58.6,69.9,80.1,0,4,0.0,0,0,1,83.3,1,34,36,1,2,1,0,4,10,0.1,4.0
Devin Lloyd,58238,LB,JAX,16,8,4.3,75.5,94.1,10.7,8.1,0,0,1,1.9,15,62.6,76.7,64.5,88.0,84.2,88.0,1,71,6.5,3,1,1,125.0,40,461,490,15,35,53,5,464,332,1.1,11.6
Joe Tryon-Shoyinka,58272,ED,TB,15,2,6.7,90.0,24.8,9.2,8.3,1,0,1,10.0,30,62.0,52.0,34.2,55.1,51.7,55.0,0,20,20.0,3,0,4,92.9,9,91,367,8,10,10,0,63,31,0.8,7.0
Michael Carter II,60644,CB,NYJ,13,1,7.1,68.4,94.5,6.7,4.6,1,0,1,2.6,22,47.9,50.7,81.8,57.4,63.9,53.9,0,24,11.1,2,1,2,82.7,26,190,201,7,15,38,0,215,110,1.2,8.3
James Pierre,60649,CB,PIT,10,0,11.4,64.3,100.0,12.8,8.2,1,0,2,14.3,25,54.8,56.2,82.2,,61.2,68.0,1,20,0.0,0,2,1,97.3,9,121,121,1,10,14,2,107,35,0.9,11.9
Grant Delpit,60685,S,CLV,16,7,8.9,77.1,92.0,13.5,10.4,0,0,4,8.3,8,60.9,65.2,66.6,74.1,67.3,74.2,0,46,8.2,4,2,2,123.5,37,528,574,13,38,48,3,419,214,0.8,11.3
Malcolm Rodriguez,60731,LB,DET,9,3,3.9,84.2,76.9,9.6,8.1,0,0,2,10.5,11,65.4,74.4,84.3,54.9,87.1,76.7,0,18,11.1,2,1,0,93.9,16,170,221,7,13,19,0,124,90,0.8,7.8
Darren Hall,60742,S,IND,1,0,,,100.0,,,0,0,0,,14,64.5,64.9,70.7,,60.0,,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
Isaiah Pola-Mao,60781,S,LV,17,7,8.9,75.0,96.9,17.6,13.2,0,0,5,12.5,23,45.1,54.2,88.3,61.0,72.4,58.1,0,57,13.8,8,5,0,132.1,30,568,586,10,43,40,3,408,180,0.8,13.6
Keion White,60998,ED,NE,17,5,4.1,100.0,12.0,7.3,7.3,0,0,0,0.0,19,63.6,68.5,49.2,76.7,55.3,63.0,0,24,19.0,4,0,4,110.4,8,58,485,12,12,8,0,84,51,1.4,10.5
