"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tre Tucker","LV","30.2","385.0","2.2","5.6","31.5","0.3","0.1","87.0"
"Jalen Coker","CAR","31.8","416.6","2.0","0.0","2.3","0.0","0.1","85.6"
"Troy Franklin","DEN","30.2","375.4","2.8","1.1","6.1","0.0","0.1","85.2"
"Noah Brown","WAS","31.8","406.6","1.9","0.0","0.0","0.0","0.1","83.6"
"Jack Bech","LV","31.1","390.3","2.2","0.0","2.5","0.0","0.1","83.3"
"Kayshon Boutte","NE","28.3","379.7","2.4","0.0","0.0","0.0","0.1","80.4"
"Pat Bryant","DEN","29.1","351.4","2.6","0.0","0.0","0.0","0.1","79.6"
"Adonai Mitchell","IND","28.4","372.4","2.2","2.9","9.5","0.1","0.4","79.1"
"Dontayvion Wicks","GB","26.9","340.0","3.0","0.0","1.3","0.0","0.0","79.1"
"Marquez Valdes-Scantling","SEA","23.9","394.2","2.3","2.7","10.4","0.1","0.0","78.7"
"Elic Ayomanor","TEN","29.4","357.3","2.1","0.0","5.7","0.0","0.1","77.9"
"Amari Cooper","LV","27.3","362.1","2.1","0.0","0.0","0.0","0.0","76.2"
"Curtis Samuel","BUF","27.0","272.2","2.5","6.6","29.3","0.1","0.1","72.5"
"Allen Lazard","NYJ","25.3","327.9","2.3","0.0","0.0","0.0","0.1","71.8"
"Christian Watson","GB","19.9","366.7","2.3","4.3","17.0","0.0","0.4","71.6"
"Greg Dortch","ARI","28.0","278.7","2.1","4.8","30.6","0.1","0.4","71.3"
"Dont'e Thornton Jr.","LV","25.1","328.5","2.0","0.0","2.0","0.0","0.1","69.8"
"Anthony Miller","BAL","25.3","276.9","2.6","0.0","0.0","0.0","0.0","68.5"
"Malik Washington","MIA","27.5","288.9","1.8","2.0","13.8","0.1","0.6","67.9"
"Van Jefferson","TEN","23.4","300.6","1.9","0.0","0.0","0.0","0.1","64.4"
"Roman Wilson","PIT","22.9","290.2","2.0","0.0","0.0","0.0","0.1","63.6"
"Devaughn Vele","NO","25.2","269.2","1.9","0.0","1.7","0.0","0.1","63.4"
"Parker Washington","JAC","24.7","261.6","1.6","0.0","8.5","0.0","0.1","61.0"
"JuJu Smith-Schuster","KC","23.1","255.6","1.8","0.0","0.0","0.0","0.1","59.1"
"Tim Patrick","DET","20.5","256.5","2.0","0.0","0.0","0.0","0.1","57.8"
"Jaylin Noel","HOU","21.6","249.2","1.4","0.0","13.0","0.0","0.0","56.2"
"Tai Felton","MIN","20.1","241.8","1.9","0.0","3.7","0.0","0.0","55.8"
