Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST
200,Anthony Miller (BAL),1,1,0,16.0,16,0,0,0,0,2,2.6,1.3,0.0%
201,Casey Washington (ATL),1,2,0,14.0,14,0,0,0,0,2,2.4,1.2,0.0%
202,Javon Baker (NE),1,4,0,12.0,12,0,0,0,0,10,2.2,0.2,0.6%
203,Trent Taylor (SF),1,1,0,11.0,11,0,0,0,0,2,2.1,1.1,0.0%
204,Kendric Pryor (CIN),1,1,0,9.0,9,0,0,0,0,2,1.9,1.0,0.0%
205,Brandon Johnson (PIT),1,1,0,9.0,9,0,0,0,0,3,1.9,0.6,1.0%
206,Ramel Keyton (FA),1,3,0,7.0,7,0,0,0,0,3,1.7,0.6,0.0%
207,Collin Johnson (FA),1,2,0,6.0,6,0,0,0,0,6,1.6,0.3,0.0%
208,John Ross (FA),1,2,0,6.0,6,0,0,0,0,1,1.6,1.6,0.0%
209,Jaelon Darden (FA),1,1,0,6.0,6,0,0,0,0,11,1.6,0.1,0.0%
210,Tyler Scott (CHI),1,1,0,5.0,5,0,0,0,0,11,1.5,0.1,1.7%
211,Robbie Chosen (SF),1,4,0,5.0,5,0,0,0,0,1,1.5,1.5,0.0%
212,Kameron Johnson (TB),0,1,11,0,0,0,0,2,0,5,1.1,0.2,0.0%
213,Velus Jones Jr. (NO),1,1,11,8.0,8,0,0,3,1,2,0.9,0.5,0.0%
214,Brycen Tremayne (CAR),1,1,0,-2.0,0,0,0,0,0,2,0.8,0.4,0.0%
215,Deonte Harty (FA),0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
216,Jalen Guyton (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
217,Cornelius Johnson (GB),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
218,Tom Kennedy (FA),0,1,0,0,0,0,0,0,0,4,0.0,0.0,0.1%
219,Malik Cunningham (BAL),0,0,0,0,0,0,0,0,0,0,0,0,1.1%
220,Arian Smith (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0.7%
221,Gunner Olszewski (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
222,D.J. Montgomery (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
223,Emeka Egbuka (TB),0,0,0,0,0,0,0,0,0,0,0,0,86.4%
224,Chris Tyree (NO),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
225,KJ Hamler (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
226,Cornell Powell (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
227,Beaux Collins (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
228,Traeshon Holden (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
229,Ja'Corey Brooks (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.6%
230,Justyn Ross (FA),0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
231,Rondale Moore (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.7%
232,Scotty Washington (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
233,Dez Fitzpatrick (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
234,Seth Williams (LV),0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
235,Trishton Jackson (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
236,Lawrence Cager (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
237,Julian Hicks (GB),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
238,JaQuae Jackson (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
239,Jeshaun Jones (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
240,Jaylen Johnson (LAC),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
241,John Jiles (NE),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
242,Luther Burden III (CHI),0,0,0,0,0,0,0,0,0,0,0,0,35.1%
243,Elic Ayomanor (TEN),0,0,0,0,0,0,0,0,0,0,0,0,7.2%
244,Jalen Royals (KC),0,0,0,0,0,0,0,0,0,0,0,0,4.3%
245,Drake Stoops (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
246,Da'Quan Felton (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
247,Travis Hunter (JAC),0,0,0,0,0,0,0,0,0,0,0,0,93.2%
248,Dominic Lovett (DET),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
249,Dorian Singer (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
250,Isaiah Neyor (GB),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
251,Tory Horton (SEA),0,0,0,0,0,0,0,0,0,0,0,0,4.8%
252,Matthew Golden (GB),0,0,0,0,0,0,0,0,0,0,0,0,87.1%
253,Andrew Armstrong (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
254,Joshua Cephus (JAC),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
255,John Rhys Plumlee (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
256,Tahj Washington (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
257,Ajou Ajou (IND),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
258,Dayton Wade (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
259,Tejhaun Palmer (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
260,Elijhah Badger (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
261,Chase Cota (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
262,Roman Wilson (PIT),0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.6%
263,Brenden Rice (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%
264,Tre' Harris (LAC),0,0,0,0,0,0,0,0,0,0,0,0,28.3%
265,Jayden Higgins (HOU),0,0,0,0,0,0,0,0,0,0,0,0,60.0%
266,Chandler Brayboy (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
267,Dalen Cambre (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
268,Eli Pancol (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
269,Coleman Owen (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
270,Cam Camper (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
271,Quentin Skinner (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
272,Jakobie Keeney-James (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
