Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
389,Jarquez Hunter,LAR,RB,98,8,170.1,63.67,1,No,Complete
128,Kareem Hunt,KC,RB,40,10,169.1,61.07,1,No,Complete
220,Joe Flacco,CLE,QB,28,9,170.0,188.46,,No,Partial Data
221,Tre Harris,LAC,WR,71,12,170.0,77.81,4,No,Complete
390,Tyler Shough,NO,QB,46,11,170.1,177.58,,No,Partial Data
391,Jalen Coker,CAR,WR,157,14,170.1,89.6,1,No,Complete
253,Tampa Bay Buccaneers DST,TB,DST,16,9,,105.48,,No,Partial Data
118,Brandon McManus,GB,K,5,5,168.7,145.35,,No,Partial Data
255,Kyle Williams,NE,WR,87,14,167.31,112.54,3,No,Partial Data
256,Younghoe Koo,ATL,K,16,5,286.87,134.48,,No,Partial Data
171,Terrance Ferguson,LAR,TE,21,8,169.9,87.27,,No,Partial Data
392,Trevor Etienne,CAR,RB,99,14,170.1,45.91,1,No,Complete
147,Dalton Schultz,HOU,TE,16,6,169.6,97.95,,No,Partial Data
158,Tyler Higbee,LAR,TE,18,8,169.8,85.48,,No,Partial Data
222,Dontayvion Wicks,GB,WR,72,5,170.0,77.52,1,No,Complete
172,AJ Barner,SEA,TE,22,8,169.9,77.97,,No,Partial Data
132,Jaxson Dart,NYG,QB,16,14,169.3,52.19,,No,Partial Data
223,Malik Washington,MIA,WR,73,12,170.0,91.43,,No,Partial Data
224,Michael Mayer,LV,TE,35,8,170.0,76.37,,No,Partial Data
225,Pat Bryant,DEN,WR,74,12,170.0,91.81,1,No,Complete
173,Olamide Zaccheaus,CHI,WR,57,5,169.9,4.41,,No,Partial Data
174,Harold Fannin Jr.,CLE,TE,23,9,169.9,74.57,,No,Partial Data
393,Andrei Iosivas,CIN,WR,158,10,170.1,98.64,2,No,Complete
270,Anthony Richardson,IND,QB,34,11,205.87,107.44,,No,Partial Data
226,Oronde Gadsden II,LAC,TE,36,12,170.0,99.54,,No,Partial Data
394,Jalen Nailor,MIN,WR,159,6,170.1,74.75,,No,Partial Data
152,Cole Kmet,CHI,TE,17,5,169.7,14.81,1,No,Complete
227,Spencer Rattler,NO,QB,29,11,170.0,63.43,,No,Partial Data
228,Devaughn Vele,DEN,WR,75,12,170.0,96.44,1,No,Complete
229,Jimmy Garoppolo,LAR,QB,30,8,170.0,39.45,,No,Partial Data
230,Noah Brown,WAS,WR,76,12,170.0,104.18,,No,Partial Data
395,Kenny Pickett,CLE,QB,47,9,170.1,50.82,,No,Partial Data
153,Jalen Milroe,SEA,QB,18,8,169.7,41.5,,No,Partial Data
396,Jordan Whittington,LAR,WR,160,8,170.1,69.63,,No,Partial Data
175,Kirk Cousins,ATL,QB,19,5,169.9,5.93,,No,Partial Data
231,KaVontae Turpin,DAL,WR,77,10,170.0,80.6,,No,Partial Data
232,Zach Wilson,MIA,QB,31,12,170.0,38.56,,No,Partial Data
233,AJ Dillon,PHI,RB,54,9,170.0,53.43,,No,Partial Data
141,Joshua Karty,LAR,K,9,8,169.5,139.54,,No,Partial Data
