Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST
191,Donald Parham Jr. (PIT),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
192,Drake Dunsmore (TB),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
193,Dominique Curry (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
194,Jordan Matthews (FA),0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
195,Derek Fine (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
196,J.P. Foschi (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
197,Joey Haynos (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
198,Darnell Dinkins (NO),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
199,Brad Cottam (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
200,Marquez Branson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
201,James Dearth (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
202,Keith Zinger (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
203,Justin Snow (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
204,Anthony Firkser (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
205,Robert Tonyan (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
206,Albert Okwuegbunam Jr. (LV),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
207,Stephen Carlson (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
208,Andrew Beck (NYJ),0,2,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
209,Irv Smith Jr. (HOU),0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
210,Tyree Jackson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
211,Darren Waller (MIA),0,0,0,0,0,0,0,0,0,0,0,0,17.5%
212,C.J. Uzomah (FA),0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
213,Zach Wood (NO),0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.5%
214,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
215,Patrick Scales (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
216,Tyler Ott (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
217,James Winchester (KC),0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
218,Gunnar Oakes (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
