POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
56th of 74,Nick Vannett,TE,45,54.3,-,-,70.1,50.2,44.7,399,-,-,103,46,250,32.4,A,"6'6""",261,-,OHIO STATE,2016,3,94
-,Gavin Bartholomew,TE,86,-,-,-,-,-,-,-,-,-,-,-,-,22.3,APUP,"6'5""",250,-,PITTSBURGH,2025,6,204
9th of 74,Josh Oliver,TE,84,74.3,-,-,67.4,62.5,73.0,572,-,-,202,52,318,28.4,A,"6'5""",259,-,S JOSE ST,2019,3,69
-,Benjamin Yurosek,TE,48,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,"6'4""",245,-,GEORGIA,2025,-,-
70th of 118,Jonathan Allen,DI,93,56.0,42.2,68.5,67.2,421,171,249,1,30.6,A,"6'3""",300,5.0,ALABAMA,2017,1,17,,,,
-,Jonathan Harris,DI,92,49.0,50.5,51.2,60.0,133,54,79,0,29.0,A,"6'5""",295,-,LNDNWD,2019,-,-,,,,
-,Jalen Redmond,DI,61,75.6,73.4,64.1,62.8,236,116,119,1,26.4,A,"6'2""",291,4.8,OKLAHOMA,2023,-,-,,,,
-,Bo Richter,ED,54,72.1,86.3,53.4,64.9,30,5,21,4,0.0,A,"6'2""",250,-,AIR FORCE,2024,-,-,,,,
-,Alex Williams,ED,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,"6'6""",265,-,MIDDLE TN,2025,-,-
-,Elijah Williams,ED,99,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'3""",270,-,MORGAN ST,2025,-,-
-,Chaz Chambliss,ED,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'2""",250,-,GEORGIA,2025,-,-
