Player,Team,POS,ATT,YDS,TDS,REC,FL,FPTS
Brenton Strange,JAC,TE20,0.0,550.4,3.3,55.2,0.5,129.0
Tyjae Spears,TEN,RB41,117.2,243.6,1.0,32.2,0.9,126.2
Jerome Ford,CLE,RB42,127.6,205.5,1.0,30.0,0.8,126.2
Chig Okonkwo,TEN,TE21,0.0,546.7,3.0,54.7,0.8,126.0
Luther Burden III,CHI,WR66,3.6,558.6,3.3,46.0,1.1,124.1
Jonnu Smith,PIT,TE22,0.0,522.8,3.8,50.4,0.9,123.7
Darren Waller,MIA,TE23,0.0,545.9,3.2,49.5,0.1,122.9
Joshua Palmer,BUF,WR67,0.0,588.8,3.5,42.1,0.1,122.0
Mike Gesicki,CIN,TE24,0.0,502.7,3.4,51.0,0.4,120.9
Brandon Aiyuk,SF,WR68,1.1,611.9,3.2,40.0,0.5,120.3
Michael Wilson,ARI,WR69,1.9,525.1,3.9,43.8,0.5,120.2
Isaiah Likely,BAL,TE25,0.0,491.0,4.8,41.4,0.7,118.0
Dalton Schultz,HOU,TE26,0.0,502.4,3.1,48.7,0.4,116.9
Cam Skattebo,NYG,RB43,122.4,184.8,0.9,23.8,1.2,116.8
Pat Freiermuth,PIT,TE27,0.0,480.4,3.3,49.9,0.9,116.1
Tank Bigsby,JAC,RB44,160.7,87.0,0.2,12.0,1.2,116.1
Juwan Johnson,NO,TE28,0.0,487.5,3.2,47.4,0.2,115.1
Tre' Harris,LAC,WR70,0.7,544.2,3.4,40.8,0.7,114.7
Calvin Austin III,PIT,WR71,2.3,529.0,3.4,39.6,0.5,113.2
Ray-Ray McCloud III,ATL,WR72,7.5,486.5,2.6,44.5,1.2,112.3
Mason Taylor,NYJ,TE29,0.0,484.9,2.7,48.1,0.8,111.4
Dylan Sampson,CLE,RB45,120.4,178.4,0.9,22.9,0.8,111.1
Tyler Higbee,LAR,TE30,0.0,424.9,3.7,45.3,0.1,109.7
Nick Chubb,HOU,RB46,129.9,86.6,0.9,11.4,0.5,109.0
Theo Johnson,NYG,TE31,0.0,478.1,2.7,43.5,0.1,107.3
