player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Trevon Diggs,41817,CB,DAL,11,389,0,9,0,13.8,64.7,100.0,8.9,5.8,0,3,17.6,57.9,0,37,11.1,1,1,136.5,11,104,26.7,104,3,8,17,3,167,46,1.7,15.2,0,1,8.4,63.3,100.0,12.1,7.7,0,3,10.0,60.8,2,39,31.6,6,3,53.9,19,248,63.8,248,5,12,30,0,193,110,0.8,10.2
Ed Oliver,42200,DI,BUF,14,3,0,4,0,,,1.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,88,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,70.7,0,,0.0,0,0,0.0,0,0,0.0,234,5,4,0,0,0,0,,
Divine Deablo,42208,LB,LV,14,323,0,23,0,0.0,100.0,61.1,20.3,20.3,0,0,0.0,68.3,0,17,0.0,0,0,102.8,3,66,20.4,108,1,4,3,0,26,26,0.4,8.7,0,7,5.9,77.8,93.9,9.7,7.5,0,1,3.7,50.9,0,25,6.5,2,0,98.3,21,215,66.6,229,6,22,27,0,205,107,1.0,9.8
Bryce Hall,42313,CB,TB,1,11,0,30,0,31.0,0.0,100.0,,3.0,0,0,0.0,75.9,0,,,0,0,39.6,0,4,36.4,4,0,0,1,0,0,0,0.0,,0,0,10.0,0.0,100.0,,6.0,0,0,0.0,28.8,0,,,0,0,39.6,0,6,54.5,6,0,0,1,0,0,0,0.0,
Janarius Robinson,42447,ED,LV,10,3,0,23,0,,,3.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,28,0,0,0,0,0,0,0.0,,0,0,,,3.1,,,0,0,,60.7,0,,0.0,0,0,0.0,0,1,33.3,32,1,1,0,0,0,0,0.0,
Amen Ogbongbemiga,42449,LB,CHI,4,12,0,6,0,1.5,100.0,100.0,1.5,1.5,0,0,0.0,59.3,0,1,0.0,0,0,118.8,2,3,25.0,3,1,1,2,1,1,5,0.3,0.5,0,0,,,88.9,,,0,0,,63.3,0,,,0,0,0.0,0,8,66.7,9,1,0,0,0,0,0,0.0,
Isaiah Simmons,42451,LB,NYG,12,122,0,21,1,3.0,50.0,77.6,33.0,16.5,0,0,0.0,62.3,0,27,25.0,1,0,95.8,1,38,31.1,49,0,2,2,0,27,24,0.8,27.0,0,3,6.9,66.7,85.9,6.4,4.3,0,0,0.0,31.6,0,24,16.7,2,0,107.4,10,67,54.9,78,2,7,15,1,99,67,1.5,9.9
K'Von Wallace,42467,S,SEA,9,54,0,29,0,-3.0,0.0,100.0,,5.0,0,0,0.0,48.7,0,,,0,0,39.6,0,6,11.1,6,0,0,1,0,0,0,0.0,,0,0,5.7,100.0,96.8,9.3,9.3,0,0,0.0,50.0,0,70,25.0,1,0,158.3,3,30,55.6,31,1,3,3,1,80,63,2.9,26.7
Antoine Winfield Jr.,42475,S,TB,9,304,0,30,0,2.0,100.0,94.2,27.5,27.5,0,0,0.0,61.8,0,13,12.5,1,0,118.8,2,65,21.4,69,1,7,2,0,26,22,0.5,13.0,0,6,12.2,58.3,87.4,29.0,16.9,2,1,8.3,51.6,0,30,12.0,3,1,118.4,7,208,68.4,238,6,16,12,2,81,42,0.4,11.6
Tomon Fox,42486,ED,NYG,10,12,0,21,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,33,0,0,0,0,0,0,,,0,0,-4.0,100.0,16.1,9.0,9.0,0,0,0.0,36.9,0,16,100.0,1,0,118.8,1,9,75.0,56,1,0,1,0,16,20,1.8,16.0
