POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,K.J. Osborn,WR,13,52.2,-,-,51.9,-,53.4,250,-,-,143,-,107,28.2,A,5'11",203,-,MIAMI FL,2020,5,176
53rd of 133,Deebo Samuel,WR,1,70.9,60.0,66.9,72.1,-,50.3,682,1,41,437,-,203,29.6,A,6'0",215,-,S CAROLINA,2019,2,36
-,Chris Moore,WR,19,57.3,-,-,52.4,-,76.4,39,-,-,16,-,23,32.1,A,6'1",200,4.5,CINCINNATI,2016,4,107
16th of 133,Terry McLaurin,WR,17,82.1,-,39.6,84.8,67.0,43.6,1124,-,1,715,2,406,28.9,A,6'0",210,-,OHIO STATE,2019,3,76
-,Kazmeir Allen,HB,22,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'9",176,-,UCLA,2023,-,-
-,Jaqory Crosley-Martin,HB,32,-,-,-,-,-,-,-,-,-,-,-,-,24.3,A,5'11",208,-,ARIZONA,2025,7,247
30th of 59,Jeremy McNichols,HB,26,72.0,-,86.3,51.6,59.8,41.4,274,-,62,140,31,41,29.6,A,5'9",205,4.5,BOISE ST,2017,5,162
34th of 59,Austin Ekeler,HB,30,69.8,-,69.0,72.6,42.3,52.4,517,-,100,299,57,61,30.2,A,5'10",200,-,WE COLO ST,2017,-,-
-,Demetric Felton Jr.,HB,25,-,-,-,-,-,-,-,-,-,-,-,-,27.1,A,5'10",190,-,UCLA,2021,6,212
-,Chris Rodriguez Jr.,HB,36,88.4,-,90.1,58.5,29.5,57.8,77,-,36,20,11,10,25.9,A,6'0",224,-,KENTUCKY,2023,6,195
-,Cole Turner,TE,88,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,6'6",240,-,NEVADA,2022,5,149
-,Colson Yankoff,TE,41,57.6,-,-,57.3,62.7,60.0,7,-,-,2,1,4,25.4,A,6'4",225,-,UCLA,2024,-,-
61st of 74,Ben Sinnott,TE,82,53.2,-,-,49.1,81.0,62.3,322,-,-,119,17,186,23.1,A,6'4",245,-,KANSAS ST,2024,2,53
68th of 74,John Bates,TE,87,49.1,-,-,44.6,58.9,52.9,608,-,-,183,87,338,27.7,A,6'6",250,-,BOISE ST,2021,4,124
27th of 74,Zach Ertz,TE,86,67.0,-,-,72.5,64.7,41.3,928,-,-,552,15,261,34.7,A,6'5",250,4.8,STANFORD,2013,2,35
-,Lawrence Cager,TE,89,-,-,-,-,-,-,-,-,-,-,-,-,28.0,A,6'5",220,-,GEORGIA,2020,-,-
-,Tyree Jackson,TE,00,-,-,-,-,-,-,-,-,-,-,-,-,27.7,IR,6'7",249,-,BUFFALO,2019,-,-
-,Nick Harris,C,61,49.7,-,-,58.1,63.9,48.3,90,-,-,2,58,30,26.7,A,6'1",293,-,WASHINGTON,2020,5,160
-,Michael Deiter,C,60,51.2,-,-,-,41.4,54.0,234,-,-,-,145,89,28.9,A,6'6",315,-,WISCONSIN,2019,3,78
19th of 40,Tyler Biadasz,C,63,64.2,-,-,-,62.8,62.9,1166,-,-,-,699,467,27.7,A,6'3",316,-,WISCONSIN,2020,4,146
-,Julian Good-Jones,G,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'4",313,-,IOWA STATE,2020,-,-
-,Timothy McKay,G,68,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",312,-,NC STATE,2025,-,-
49th of 77,Nick Allegretti,G,67,59.4,-,-,-,53.5,62.3,1372,-,-,-,835,537,29.3,A,6'4",310,-,ILLINOIS,2019,7,216
-,Bobby Hart,G,51,-,-,-,-,-,-,-,-,-,-,-,-,31.0,A,6'5",310,-,FLORIDA ST,2015,7,228
23rd of 77,Sam Cosmi,G,76,67.8,-,-,-,74.3,64.8,1259,-,-,-,762,497,26.5,APUP,6'7",309,-,TEXAS,2021,2,51
-,George Fant,T,64,61.3,-,-,-,44.7,68.2,30,-,-,-,16,14,33.0,A,6'5",322,-,W KENTUCKY,2016,-,-
-,Lucas Niang,T,53,-,-,-,-,-,-,-,-,-,-,-,-,27.0,IR,6'6",315,-,TCU,2020,3,96
-,Tyre Phillips,T,62,54.3,-,-,-,48.6,55.1,53,-,-,-,29,24,28.5,A,6'5",330,-,MISS STATE,2020,3,106
57th of 81,Andrew Wylie,T,71,61.7,-,-,55.8,65.7,53.4,1115,-,-,2,671,442,31.0,A,6'5",309,-,E MICHIGAN,2017,-,-
-,Josh Conerly Jr.,T,72,-,-,-,-,-,-,-,-,-,-,-,-,21.8,A,6'4",315,-,OREGON,2025,1,29
-,Foster Sarell,T,79,53.0,-,-,-,59.2,49.0,40,-,-,-,20,20,26.9,A,6'7",322,-,STANFORD,2021,-,-
64th of 81,Brandon Coleman,T,74,59.1,-,-,56.0,55.4,62.4,1013,-,-,2,612,399,0.0,A,6'6",320,-,TCU,2024,3,67
-,Trent Scott,T,73,46.1,-,-,90.6,52.9,39.5,288,-,-,1,180,107,31.5,A,6'5",320,-,GRAMBLING,2018,-,-
20th of 81,Laremy Tunsil,T,78,77.8,-,-,-,89.1,73.3,1167,-,-,-,745,422,31.0,A,6'5",313,-,OLE MISS,2016,1,13
-,Chris Paul,T,75,67.7,-,-,-,44.2,72.4,29,-,-,-,19,10,26.7,A,6'4",324,-,TULSA,2022,7,-
-,Antonio Hamilton Sr.,CB,34,29.6,28.5,52.9,37.2,40,14,3,23,32.5,A,6'0",195,-,SCAR STATE,2016,-,-
-,Essang Bassey,CB,38,-,-,-,-,-,-,-,-,-,-,-,-,27.0,A,5'10",190,-,WAKE,2020,-,-
-,Carlin Vigers,CB,22,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",200,-,LA MONROE,2025,-,-
-,Trey Amos,CB,23,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6'1",190,-,OLE MISS,2025,2,61
52nd of 116,Mike Sainristil,CB,0,65.8,66.4,51.8,64.5,1158,463,5,690,24.8,A,5'10",182,-,MICHIGAN,2024,2,50
115th of 116,Noah Igbinoghene,CB,6,45.3,35.8,48.1,49.6,971,365,9,597,25.7,A,5'11",197,-,AUBURN,2020,1,30
79th of 116,Jonathan Jones,CB,31,60.7,55.2,57.5,61.1,712,285,2,425,31.9,A,5'10",185,4.3,AUBURN,2016,-,-
-,Bobby Price,CB,37,-,-,-,-,-,-,-,-,-,-,-,-,27.3,A,6'3",205,-,NORFOLK,2020,-,-
89th of 116,Marshon Lattimore,CB,2,56.8,52.8,55.3,58.0,687,264,2,421,29.2,A,6'0",192,4.4,OHIO STATE,2017,1,11
79th of 98,Daryl Worley,S,29,54.3,49.4,53.2,59.1,460,221,7,232,30.5,A,6'1",210,4.6,W VIRGINIA,2016,3,77
-,Robert McDaniel,S,47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",205,-,JACKSON ST,2025,-,-
60th of 98,Quan Martin,S,20,62.4,66.3,60.9,59.2,1115,459,6,650,25.3,A,5'11",195,4.5,ILLINOIS,2023,2,48
-,Tyler Owens,S,40,60.0,-,60.0,-,1,-,1,-,24.2,A,6'2",210,-,TEXAS TECH,2024,-,-
63rd of 98,Will Harris,S,3,61.5,63.1,61.3,60.1,860,322,30,508,29.6,A,6'1",206,-,BOSTON COL,2019,3,81
-,Jeremy Reaves,S,39,48.4,60.5,60.0,54.1,5,3,1,1,28.9,A,5'11",200,-,S ALABAMA,2018,-,-
98th of 98,Percy Butler,S,35,41.3,46.3,55.1,41.7,448,187,4,257,25.2,A,6'0",191,-,LA LAFAYET,2022,4,113
-,Ben Nikkel,S,48,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",210,-,IOWA STATE,2024,-,-
-,Duke Riley,LB,45,42.9,50.7,49.6,48.6,43,12,9,22,31.0,A,6'1",227,4.6,LSU,2017,3,75
-,Kam Arnold,LB,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",229,-,BOSTON COL,2025,-,-
-,Ale Kaho,LB,51,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",230,-,UCLA,2025,-,-
-,Kain Medrano,LB,56,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",230,-,UCLA,2025,6,207
