POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Travis Glover,G,79,35.1,-,-,-,12.6,44.4,41,-,-,-,19,22,0.0,IR,6'6",323,-,GA STATE,2024,6,203
-,Jacob Monk,G,62,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",320,-,DUKE,2024,5,164
-,Jordan Morgan,G,77,59.2,-,-,-,61.5,56.2,186,-,-,-,104,82,24.0,A,6'6",320,-,ARIZONA,2024,1,25
33rd of 77,Aaron Banks,G,65,65.4,-,-,-,60.5,68.9,775,-,-,-,471,304,27.9,A,6'5",325,-,NOTRE DAME,2021,2,48
-,Trey Hill,G,64,-,-,-,-,-,-,-,-,-,-,-,-,25.5,A,6'4",335,-,GEORGIA,2021,6,191
46th of 77,Sean Rhyan,G,75,61.3,-,-,-,65.6,58.7,1027,-,-,-,543,484,24.9,A,6'5",321,-,UCLA,2022,3,92
-,Brant Banks,T,72,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",318,-,RICE,2025,-,-
-,John Williams,T,73,-,-,-,-,-,-,-,-,-,-,-,-,23.6,APUP,6'5",320,-,CINCINNATI,2025,7,252
-,Anthony Belton,T,71,-,-,-,-,-,-,-,-,-,-,-,-,24.4,A,6'6",336,-,NC STATE,2025,2,54
41st of 81,Rasheed Walker,T,63,68.7,-,-,-,60.1,53.6,1139,-,-,-,603,536,25.5,A,6'6",324,-,PENN STATE,2022,7,250
6th of 81,Zach Tom,T,50,85.8,-,-,-,61.0,87.8,1134,-,-,-,603,531,26.4,A,6'4",304,-,WAKE,2022,4,142
-,Jaylin Simpson,CB,38,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,6'1",178,-,AUBURN,2024,5,165
-,Kamal Hadden,CB,36,-,-,-,-,-,-,-,-,-,-,-,-,24.5,A,6'1",197,-,TENNESSEE,2024,6,212
-,Kalen King,CB,34,-,-,-,-,-,-,-,-,-,-,-,-,22.5,A,5'11",191,-,PENN STATE,2024,7,256
-,Corey Ballentine,CB,35,53.5,48.2,-,54.6,75,16,-,59,29.3,A,5'11",196,-,WASHBURN,2019,6,180
54th of 116,Carrington Valentine,CB,24,65.5,40.5,56.2,71.4,606,234,1,371,23.9,A,6'0",189,-,KENTUCKY,2023,7,234
-,Johnathan Baldwin,CB,37,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",200,-,UNLV,2025,-,-
-,Bo Melton,CB,16,-,-,-,-,-,-,-,-,-,-,-,-,26.2,A,5'11",189,-,RUTGERS,2022,7,230
-,Tyron Herring,CB,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",200,-,DELAWARE,2025,-,-
-,Micah Robinson,CB,26,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",184,-,TULANE,2025,7,239
80th of 98,Javon Bullard,CB,20,54.2,67.7,58.0,49.0,816,309,17,490,22.9,A,5'11",195,-,GEORGIA,2024,2,58
23rd of 116,Nate Hobbs,CB,21,61.4,62.1,48.5,61.5,554,213,23,318,26.1,A,5'11",195,-,ILLINOIS,2021,5,168
62nd of 116,Keisean Nixon,CB,25,64.1,65.8,62.7,60.7,1077,400,13,664,28.1,A,5'10",200,-,S CAROLINA,2019,-,-
-,Omar Brown,S,40,62.0,60.0,-,61.3,8,1,-,7,24.8,A,6'1",200,-,NEBRASKA,2024,-,-
-,Zayne Anderson,S,39,80.8,73.0,59.2,75.6,122,46,1,75,0.0,A,6'2",206,-,BYU,2021,-,-
-,Kitan Oladapo,S,27,72.9,67.4,-,68.7,68,23,-,45,24.8,A,6'1",217,-,OREGON ST,2024,5,170
24th of 98,Evan Williams,S,33,72.3,60.3,57.4,73.8,533,191,2,340,0.0,A,6'1",205,-,OREGON,2024,4,112
3rd of 98,Xavier McKinney,S,29,84.7,67.0,72.5,90.2,1125,432,15,678,26.0,A,6'0",201,-,ALABAMA,2020,2,36
-,Jared Bartlett,LB,51,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",237,-,CINCINNATI,2025,-,-
-,Jamon Dumas-Johnson,LB,48,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,6'1",245,-,KENTUCKY,2025,-,-
-,Isaiah Simmons,LB,28,45.6,61.5,52.9,43.6,181,37,22,122,27.0,A,6'4",238,-,CLEMSON,2020,1,8
-,Kristian Welch,LB,54,46.0,54.0,-,44.0,53,41,-,12,0.0,A,6'3",240,-,IOWA,2020,-,-
-,Ty'Ron Hopper,LB,59,60.7,68.8,-,53.1,18,7,-,11,24.3,A,6'2",221,-,MISSOURI,2024,3,92
5th of 84,Edgerrin Cooper,LB,56,85.6,77.2,90.0,77.3,549,219,56,274,23.7,A,6'3",230,-,TEXAS A&M,2024,2,45
