POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
10th of 74,Sam LaPorta,TE,87,73.6,-,-,79.1,57.7,55.1,976,-,-,512,49,415,24.6,A,6'3",245,4.6,IOWA,2023,2,35
-,Shane Zylstra,TE,84,49.6,-,-,50.5,19.5,53.7,112,-,-,48,2,62,28.7,A,6'4",240,-,MINNESOTA STATE,2021,-,-
-,Kenny Yeboah,TE,88,47.6,-,-,59.5,34.3,48.4,107,-,-,43,7,57,0.0,IR,6'4",250,-,OLE MISS,2021,-,-
65th of 74,Brock Wright,TE,89,52.1,-,-,52.9,57.7,52.0,598,-,-,184,66,348,26.7,A,6'5",250,-,NOTRE DAME,2021,-,-
-,Zack Johnson,C,77,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",315,-,N DAK ST,2020,-,-
-,Kingsley Eguakun,C,65,-,-,-,-,-,-,-,-,-,-,-,-,24.4,A,6'3",302,-,FLORIDA,2024,-,-
55th of 77,Graham Glasgow,C,60,57.2,-,-,-,49.8,60.1,1149,-,-,-,632,517,33.0,A,6'6",315,5.1,MICHIGAN,2016,3,95
-,Michael Niese,G,62,42.4,-,-,-,63.5,40.7,34,-,-,-,12,22,0.0,A,6'5",295,-,TEMPLE,2022,-,-
18th of 77,Trystan Colon,G,67,71.0,-,-,-,65.9,68.5,386,-,-,-,215,171,27.4,A,6'4",313,-,MISSOURI,2020,-,-
-,Mason Miller,G,63,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",305,-,N DAK ST,2025,-,-
-,Miles Frazier,G,71,-,-,-,-,-,-,-,-,-,-,-,-,23.9,APUP,6'5",325,-,LSU,2025,5,173
-,Tate Ratledge,G,69,-,-,-,-,-,-,-,-,-,-,-,-,24.3,A,6'6",320,-,GEORGIA,2025,2,57
-,Kayode Awosika,G,74,51.3,-,-,-,59.4,52.5,145,-,-,-,65,80,0.0,A,6'5",315,-,BUFFALO,2021,-,-
-,Christian Mahogany,G,73,91.5,-,-,-,78.7,91.1,144,-,-,-,81,63,24.8,A,6'3",322,-,BOSTON COL,2024,6,211
-,Netane Muti,G,52,-,-,-,-,-,-,-,-,-,-,-,-,26.4,A,6'3",307,-,FRESNO ST,2020,6,181
-,Jamaico Jones,T,72,64.0,-,-,59.9,60.7,-,4,-,-,1,3,-,29.2,A,6'4",293,5.5,OHIO STATE,2018,5,166
-,Gunner Britton,T,78,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",312,-,AUBURN,2024,-,-
-,Colby Sorsdal,T,75,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'6",315,-,WM & MARY,2023,5,154
-,Justin Herron,T,76,-,-,-,-,-,-,-,-,-,-,-,-,29.7,IR,6'5",290,-,WAKE,2020,6,195
-,Giovanni Manu,T,59,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",352,-,BRITISH COLUMBIA (CA.),2024,4,127
68th of 81,Dan Skipper,T,70,55.2,-,-,68.3,57.6,49.5,324,-,-,8,137,179,30.9,A,6'9",317,5.4,ARKANSAS,2017,-,-
23rd of 81,Taylor Decker,T,68,77.2,-,-,58.1,78.0,70.3,963,-,-,1,536,426,31.0,A,6'7",318,5.2,OHIO STATE,2016,1,16
3rd of 81,Penei Sewell,T,58,89.6,60.0,-,83.9,75.4,91.5,1213,1,-,0,664,548,24.8,A,6'5",335,-,OREGON,2021,1,7
-,Allan George,CB,25,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",191,-,VANDERBILT,2022,-,-
-,Luq Barcoo,CB,40,-,-,-,-,-,-,-,-,-,-,-,-,27.0,A,6'1",180,-,S DIEGO ST,2020,-,-
