POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
18th of 74,Foster Moreau,TE,87,71.1,-,-,75.9,71.9,58.4,752,-,-,307,90,355,28.3,APUP,6'4",250,-,LSU,2019,4,137
-,Moliki Matavao,TE,80,-,-,-,-,-,-,-,-,-,-,-,-,22.4,A,6'6",263,-,UCLA,2025,7,250
-,Jack Stoll,TE,88,48.3,-,-,46.1,63.8,53.1,203,-,-,45,14,144,27.5,A,6'4",247,-,NEBRASKA,2021,-,-
28th of 74,Juwan Johnson,TE,83,66.7,-,-,71.3,20.0,52.4,696,-,-,442,26,228,28.9,A,6'4",231,-,OREGON,2020,-,-
-,Taysom Hill,TE,7,71.8,39.5,89.9,65.9,75.6,43.2,227,5,38,115,5,64,35.0,APUP,6'2",221,-,BYU,2017,-,-
-,Luke Fortner,C,63,52.5,-,-,-,28.5,55.0,13,-,-,-,7,6,27.2,A,6'6",307,-,KENTUCKY,2022,3,65
40th of 40,Shane Lemieux,C,66,51.1,-,-,-,42.1,58.8,337,-,-,-,221,116,28.2,A,6'4",310,-,OREGON,2020,5,150
-,Mike Panasiuk,C,61,-,-,-,-,-,-,-,-,-,-,-,-,27.8,A,6'4",285,-,MICH STATE,2020,-,-
-,Erik McCoy,C,78,94.4,-,-,-,79.7,94.6,293,-,-,-,154,139,27.9,A,6'4",303,-,TEXAS A&M,2019,2,48
60th of 77,Nick Saldiveri,G,64,56.0,-,-,-,38.5,61.1,344,-,-,-,203,141,25.0,IR,6'6",316,5.2,DOMINION,2023,4,104
-,Barry Wesley,G,69,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",310,-,COLO STATE,2023,-,-
-,Torricelli Simpkins III,G,68,-,-,-,-,-,-,-,-,-,-,-,-,23.2,A,6'5",319,-,S CAROLINA,2025,-,-
56th of 77,Dillon Radunz,G,77,57.0,-,-,-,63.9,53.6,903,-,-,-,547,356,27.4,A,6'6",301,-,N DAK ST,2021,2,53
62nd of 77,Landon Young,G,67,55.7,-,-,-,30.0,67.7,393,-,-,-,252,141,0.0,A,6'7",321,-,KENTUCKY,2021,6,207
-,Will Clapp,G,76,50.4,-,-,-,32.9,55.1,67,-,-,-,35,32,26.9,IR,6'5",311,5.4,LSU,2018,7,245
-,Nate Herbig,G,60,43.7,-,-,-,30.0,62.5,45,-,-,-,35,10,0.0,A,6'2",315,-,BOSTON COL,2024,-,-
25th of 77,Cesar Ruiz,G,51,67.6,-,-,-,67.5,64.4,813,-,-,-,477,336,26.1,A,6'4",316,-,MICHIGAN,2020,1,24
-,Josiah Ezirim,T,72,-,-,-,-,-,-,-,-,-,-,-,-,24.2,A,6'6",320,-,E KENTUCKY,2024,7,240
-,Jonathan Mendoza,T,79,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,0'0",310,-,LOUISVILLE,2025,-,-
-,Easton Kilty,T,73,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6'6",307,-,KANSAS ST,2025,-,-
-,Kelvin Banks Jr.,T,71,-,-,-,-,-,-,-,-,-,-,-,-,21.4,A,6'4",320,-,TEXAS,2025,1,9
48th of 81,Taliese Fuaga,T,75,65.7,-,-,-,62.2,69.5,1070,-,-,-,657,413,23.3,A,6'6",334,-,OREGON ST,2024,1,14
60th of 81,Trevor Penning,T,70,60.2,-,-,-,51.6,70.1,1061,-,-,-,663,418,26.2,A,6'7",325,-,N IOWA,2022,1,19
-,Jayden Price,CB,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",184,-,N DAK ST,2024,-,-
-,Dalys Beanum,CB,37,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",200,-,S DAK ST,2025,-,-
-,Quincy Riley,CB,29,-,-,-,-,-,-,-,-,-,-,-,-,24.2,A,6'0",195,-,LOUISVILLE,2025,4,131
97th of 116,Ugo Amadi,CB,0,55.2,66.6,68.4,50.0,527,179,25,323,28.2,A,5'9",201,-,OREGON,2019,4,132
-,Rico Payton,CB,36,66.2,63.6,-,65.3,22,9,-,13,0.0,A,5'11",178,-,PITT GOR,2024,-,-
51st of 116,Kool-Aid McKinstry,CB,4,66.1,55.9,57.6,67.1,680,244,6,430,22.8,A,6'1",195,-,ALABAMA,2024,2,41
80th of 116,Isaac Yiadom,CB,27,59.5,76.1,-,55.3,488,168,-,320,29.5,A,6'1",188,4.5,BOSTON COL,2018,3,99
116th of 116,Alontae Taylor,CB,1,45.0,62.1,70.1,35.4,1075,397,29,649,26.7,A,6'0",199,-,TENNESSEE,2022,2,49
-,Razoryn Wright,CB,25,-,-,-,-,-,-,-,-,-,-,-,-,24.9,A,6'2",193,-,OREGON ST,2023,-,-
30th of 98,Julian Blackmon,S,28,69.3,55.1,69.4,73.5,1084,457,14,613,27.0,A,6'0",202,-,UTAH,2020,3,85
-,Terrell Burgess,S,24,-,-,-,-,-,-,-,-,-,-,-,-,26.7,A,5'11",202,-,UTAH,2020,3,104
34th of 98,Jordan Howden,S,31,67.9,77.2,53.5,63.5,550,165,16,369,25.2,A,6'0",209,4.5,MINNESOTA,2023,5,148
-,Elliott Davison,S,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",190,-,UTSA,2025,-,-
-,Jonas Sanker,S,33,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",210,-,VIRGINIA,2025,3,93
-,J.T. Gray,S,48,37.6,55.3,60.0,43.5,40,10,1,29,29.5,A,6'0",202,-,MISS STATE,2018,-,-
11th of 98,Justin Reid,S,21,79.2,83.5,58.0,76.5,1186,424,55,707,28.5,A,6'1",207,4.4,STANFORD,2018,3,68
-,Isaiah Stalbird,LB,44,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",215,-,S DAK ST,2024,-,-
-,Danny Stutsman,LB,47,-,-,-,-,-,-,-,-,-,-,-,-,22.4,A,6'4",241,-,OKLAHOMA,2025,4,112
-,Tyreem Powell,LB,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",252,-,RUTGERS,2025,-,-
-,Jaylan Ford,LB,53,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,6'3",242,-,TEXAS,2024,5,176
-,Nephi Sewell,LB,45,78.1,72.6,71.5,70.0,58,26,4,28,26.6,A,6'0",228,-,UTAH,2022,-,-
19th of 84,Demario Davis,LB,56,73.2,80.2,66.0,63.4,1090,430,64,596,36.6,A,6'2",248,4.6,ARK STATE,2012,3,77
29th of 84,Pete Werner,LB,20,69.0,68.5,45.4,69.0,731,312,39,380,26.2,A,6'3",242,-,OHIO STATE,2021,2,60
