POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Dameon Pierce,HB,31,72.0,-,81.9,48.6,43.7,43.9,130,-,48,59,12,13,25.5,A,5'10",218,-,FLORIDA,2022,4,107
-,Jawhar Jordan,HB,22,-,-,-,-,-,-,-,-,-,-,-,-,26.0,A,5'10",185,-,LOUISVILLE,2024,6,206
-,British Brooks,FB,44,56.5,-,60.0,52.0,64.9,65.2,9,-,1,3,1,4,0.0,A,5'11",225,-,N CAROLINA,2024,-,-
-,Arthur Maulet,CB,22,45.8,40.6,51.5,50.1,72,19,5,48,32.1,A,5'10",190,4.6,MEMPHIS,2017,-,-
-,Myles Bryant,CB,27,65.0,70.0,60.0,62.7,156,46,11,99,27.6,A,5'9",192,-,WASHINGTON,2020,-,-
-,Alijah Huzzie,CB,36,-,-,-,-,-,-,-,-,-,-,-,-,0.0,ANFI,5'10",195,-,N CAROLINA,2025,-,-
-,Damon Arnette,CB,41,-,-,-,-,-,-,-,-,-,-,-,-,28.9,A,6'0",195,-,OHIO STATE,2020,1,19
-,Jaylin Smith,CB,30,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",190,-,USC,2025,3,97
20th of 116,Kamari Lassiter,CB,4,74.7,60.8,38.9,77.5,906,346,8,552,22.5,A,6'0",180,-,GEORGIA,2024,2,42
-,Tremon Smith,CB,11,41.8,61.5,-,36.9,21,10,-,11,29.0,A,5'11",190,-,CENT ARK,2018,6,196
18th of 98,Jalen Pitre,CB,5,74.0,79.5,61.2,71.3,660,234,47,379,26.2,A,5'11",198,-,BAYLOR,2022,2,37
-,D'Angelo Ross,CB,37,65.6,56.5,-,66.6,184,73,-,111,28.8,A,5'9",190,-,NEW MEXICO,2019,-,-
5th of 116,Derek Stingley Jr.,CB,24,80.4,55.9,-,84.4,1119,410,-,709,24.1,A,6'0",190,-,LSU,2022,1,3
55th of 98,Jalen Mills,S,26,63.4,68.4,52.3,61.6,457,202,5,250,31.3,A,6'0",200,4.6,LSU,2016,7,233
-,Jaylen Reed,S,34,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",212,-,PENN STATE,2025,6,189
15th of 98,Jimmie Ward,S,20,76.1,75.6,47.2,73.9,461,159,6,296,34.1,APUP,5'11",195,-,N ILLINOIS,2014,1,30
93rd of 98,Calen Bullock,S,2,47.9,77.9,56.7,36.2,1083,398,2,683,22.3,A,6'3",190,-,USC,2024,3,78
-,M.J. Stewart,S,29,66.1,81.3,56.6,60.7,99,38,2,59,29.9,A,5'11",200,4.5,N CAROLINA,2018,2,53
14th of 98,C.J. Gardner-Johnson,S,23,77.0,59.6,-,85.7,1170,395,-,775,27.6,A,6'0",208,-,FLORIDA,2019,4,105
-,Russ Yeast,S,25,28.4,60.0,-,30.4,21,7,-,14,0.0,A,5'10",195,-,KANSAS ST,2022,7,254
-,K.C. Ossai,LB,47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",240,-,LA LAFAYET,2025,-,-
-,Jackson Woodard,LB,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",230,-,UNLV,2025,-,-
49th of 84,Henry To'oTo'o,LB,38,62.4,70.4,59.0,55.3,936,374,58,504,24.6,A,6'1",228,4.6,ALABAMA,2023,5,169
68th of 84,E.J. Speed,LB,45,56.4,71.5,49.7,46.3,1011,448,55,508,30.2,A,6'3",227,-,TARLETON,2019,5,164
-,Jamal Hill,LB,56,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",226,-,OREGON,2024,6,189
-,Nick Niemann,LB,32,71.9,69.4,-,64.3,44,31,-,13,27.7,A,6'3",244,-,IOWA,2021,6,186
