player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Damontae Kazee,11904,S,PIT,4,8,4.0,4.0,25,0,118.8,2,2,0,62,3,7.75
Caelen Carson,123377,CB,DAL,2,4,4.0,2.0,9,0,64.6,1,2,0,10,3,2.5
Carrington Valentine,53750,CB,GB,5,8,4.0,4.0,12,1,75.0,2,2,0,23,17,2.88
Ashtyn Davis,49560,S,NYJ,9,32,4.0,3.6,22,0,138.0,8,9,1,74,75,2.31
Riley Moss,83259,CB,DEN,9,16,4.0,2.7,10,0,84.0,4,6,0,38,9,2.38
Demetrius Flannigan-Fowles,49231,LB,SF,3,4,4.0,4.0,28,0,79.2,1,1,0,2,8,0.5
Amari Burney,83811,LB,LV,4,4,4.0,4.0,23,0,95.8,1,1,0,7,2,1.75
Darrell Baker Jr.,43542,CB,TEN,3,4,4.0,4.0,31,0,79.2,1,1,0,-1,3,-0.25
Christian Harris,98996,LB,HST,3,16,4.0,4.0,13,0,84.4,4,4,0,17,14,1.06
Quinton Bell,37468,ED,MIA,3,4,4.0,4.0,17,0,79.2,1,1,0,3,2,0.75
James Williams,143955,LB,TEN,2,4,4.0,4.0,31,0,87.5,1,1,0,5,5,1.25
Andrew Van Ginkel,30267,ED,MIN,14,20,4.0,4.0,18,0,146.3,5,5,1,48,34,2.4
Marcus Epps,51391,S,LV,3,12,4.0,3.0,23,0,105.2,3,4,0,39,16,3.25
Dre Greenlaw,51503,LB,SF,1,4,4.0,4.0,28,0,100.0,1,1,0,8,9,2.0
Jamal Adams,11761,S,DET,2,4,4.0,4.0,11,0,116.7,1,1,0,12,6,3.0
Ventrell Miller,57809,LB,JAX,9,27,3.9,2.7,15,0,95.8,7,10,0,85,53,3.15
E.J. Speed,94351,LB,IND,15,63,3.9,3.5,14,0,95.8,16,18,0,126,94,2.0
Tyrel Dodson,51045,LB,MIA,10,23,3.8,3.8,17,0,86.8,6,6,0,29,27,1.26
Dorian Williams,97694,LB,BUF,13,34,3.8,3.1,4,0,81.4,9,11,0,39,23,1.15
Owen Pappoe,99006,LB,ARZ,5,11,3.7,2.8,1,0,88.5,3,4,0,23,21,2.09
Malik Harrison,28081,LB,BLT,7,11,3.7,3.7,3,0,158.3,3,3,1,96,97,8.73
Kenneth Murray Jr.,58099,LB,TEN,13,47,3.6,3.6,31,0,147.3,13,13,2,128,62,2.72
Ronald Darby,9483,CB,JAX,7,14,3.5,2.0,15,0,74.7,4,7,0,42,17,3.0
Isaac Yiadom,49355,CB,SF,6,7,3.5,3.5,28,0,118.8,2,2,0,63,7,9.0
Martin Emerson Jr.,97872,CB,CLV,8,14,3.5,3.5,8,0,158.3,4,4,1,59,15,4.21
Jack Jones,29050,CB,LV,14,39,3.5,3.0,23,0,149.2,11,13,3,134,65,3.44
Marist Liufau,102789,LB,DAL,12,28,3.5,3.5,9,0,101.0,8,8,0,66,35,2.36
Julian Blackmon,49434,S,IND,12,27,3.4,3.4,14,0,158.3,8,8,2,105,65,3.89
Jamel Dean,34918,CB,TB,6,13,3.3,2.6,30,0,118.8,4,5,0,103,14,7.92
Kristian Fulton,42894,CB,LAC,9,13,3.3,2.2,27,0,116.0,4,6,1,27,11,2.08
Deantre Prince,98888,CB,JAX,3,3,3.0,3.0,15,0,158.3,1,1,1,27,22,9.0
Sydney Brown,83241,S,PHI,2,3,3.0,3.0,24,0,79.2,1,1,0,3,0,1.0
Denzel Perryman,9481,LB,LAC,8,15,3.0,3.0,27,0,96.7,5,5,0,36,16,2.4
Chris Smith II,83220,S,LV,1,3,3.0,3.0,23,0,95.8,1,1,0,7,10,2.33
Shemar Jean-Charles,42496,CB,NO,2,6,3.0,3.0,20,0,118.8,2,2,0,31,8,5.17
Luke Gifford,50675,LB,TEN,4,12,3.0,3.0,31,0,91.7,4,4,0,24,23,2.0
Cam Gill,33560,ED,CAR,2,3,3.0,3.0,5,0,79.2,1,1,0,0,2,0.0
Nicholas Morrow,51674,LB,BUF,2,3,3.0,3.0,4,0,118.8,1,1,0,26,4,8.67
Trevor Nowaske,169859,ED,DET,4,6,3.0,3.0,11,0,100.0,2,2,0,16,7,2.67
Sione Takitaki,12666,LB,NE,4,6,3.0,3.0,19,0,137.5,2,2,1,15,23,2.5
Jeff Okudah,55674,CB,HST,3,3,3.0,3.0,13,0,158.3,1,1,1,64,56,21.33
Reed Blankenship,56065,S,PHI,14,21,3.0,3.0,24,0,111.9,7,7,0,76,19,3.62
Troy Andersen,57317,LB,ATL,5,9,3.0,3.0,2,0,118.8,3,3,0,41,40,4.56
James Smith-Williams,48455,ED,ATL,3,3,3.0,3.0,2,0,83.3,1,1,0,4,10,1.33
Elijah Campbell,49190,S,MIA,3,3,3.0,3.0,17,0,87.5,1,1,0,5,-2,1.67
Brian Burns,44522,ED,NYG,5,6,3.0,2.0,21,0,89.6,2,3,0,23,16,3.83
Desmond King II,11906,CB,BLT,2,11,2.8,2.2,3,0,133.8,4,5,1,33,22,3.0
