player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Chris Smith,106524,DI,DET,5,0,0,11,62.8,1,0,22,100.0,4.5,1,0,2.3,0,23,23,1,0,53.2,0,0,10,100.0,0.0,0,0.0,0,10,10,0
Truman Jones,106527,ED,NE,1,0,0,19,53.8,0,0,16,100.0,6.3,1,0,0.0,0,16,16,0,0,56.0,0,0,10,100.0,10.0,1,0.0,0,10,10,0
Joe Andreessen,108177,LB,BUF,5,0,0,4,71.7,1,0,6,11.0,0.0,0,0,8.3,0,73,8,1,0,62.7,1,0,4,13.5,0.0,0,12.5,0,37,5,1
Michael Hoecht,108840,ED,LA,17,1,0,26,60.3,2,17,210,60.9,8.6,18,1,6.4,4,373,227,23,0,67.4,0,9,86,61.4,12.8,11,9.9,4,153,94,13
Dee Alford,110542,CB,ATL,16,0,0,2,61.0,0,2,17,3.3,0.0,0,0,11.8,1,515,17,3,0,61.2,0,1,8,3.4,0.0,0,18.8,1,235,8,2
Jalen Brooks,111284,WR,DAL,1,0,0,9,60.0,0,0,0,100.0,,0,0,,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
D'Anthony Bell,111578,S,CLV,3,0,0,8,60.0,1,2,7,17.9,0.0,0,0,21.4,0,39,7,3,0,59.1,0,0,1,6.7,0.0,0,0.0,0,15,1,0
Jamie Sheriff,121433,ED,SEA,1,0,0,29,62.6,0,0,8,100.0,12.5,1,0,0.0,0,8,8,0,0,55.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Natrone Brooks,121449,CB,ATL,5,0,1,2,74.4,1,0,3,10.0,0.0,0,1,16.7,0,30,3,1,0,58.7,0,0,1,9.1,0.0,0,0.0,0,11,1,0
Tyrice Knight,122025,LB,SEA,12,0,0,29,73.3,2,6,37,11.9,8.1,3,0,16.2,2,312,37,10,0,76.5,0,3,19,16.0,15.8,3,18.4,2,119,19,5
Bryan Bresee,122142,DI,NO,17,3,0,20,57.2,7,23,441,99.2,5.7,25,2,5.2,8,480,476,38,3,60.5,4,21,246,100.0,7.7,19,7.9,7,260,260,32
Myles Murphy,122154,ED,CIN,13,0,0,7,56.6,3,17,205,90.7,10.2,21,0,4.9,0,237,215,20,0,59.2,3,7,107,98.2,12.1,13,4.7,0,114,112,10
Trenton Simpson,122157,LB,BLT,16,1,0,3,60.6,4,2,45,11.7,4.4,2,2,11.1,2,401,47,8,1,68.5,3,0,20,12.3,5.0,1,17.5,2,179,22,5
Felix Anudike-Uzomah,122582,ED,KC,17,0,1,16,60.5,4,7,170,94.2,10.0,17,2,5.0,3,191,180,14,0,60.8,4,4,64,90.8,12.5,8,9.4,2,76,69,10
