Format:,ppr
Teams:,12
Rounds:,15
Total drafts:,8574
Start date:,2025-08-11
End date:,2025-08-18

ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
14.04,160.5,Cameron Ward,QB,TEN,144,21.9,103,208,10
14.05,160.6,Daniel Carlson,PK,LV,11,16.0,133,180,8
14.05,160.7,Kansas City Defense,DEF,KC,152,17.9,118,210,10
14.05,160.9,Keaton Mitchell,RB,BAL,51,26.7,113,210,7
14.05,161.4,Tampa Bay Defense,DEF,TB,42,18.2,119,208,9
14.05,161.4,Chris Boswell,PK,PIT,68,25.9,94,210,5
14.07,162.7,NY Jets Defense,DEF,NYJ,20,25.6,121,206,9
14.07,163.2,Kyle Williams,WR,NE,56,20.8,114,199,14
14.08,163.5,Brenton Strange,TE,JAX,42,21.9,113,208,8
14.08,164.4,DeAndre Hopkins,WR,BAL,35,27.4,95,210,7
14.09,164.7,Will Shipley,RB,PHI,11,10.7,140,179,9
14.09,165.3,Will Reichard,PK,MIN,38,17.1,120,197,6
14.09,165.4,Sam Darnold,QB,SEA,73,18.3,117,208,8
14.10,165.7,Washington Defense,DEF,WAS,24,17.5,120,203,12
14.10,165.8,Michael Wilson,WR,ARI,19,7.4,149,177,8
14.10,166.1,Miles Sanders,RB,DAL,14,25.5,113,203,10
14.11,166.7,Jake Moody,PK,SF,20,13.8,136,203,14
14.11,167.2,Dont'e Thornton Jr.,WR,LV,39,23.4,106,205,8
14.11,167.3,Aaron Rodgers,QB,PIT,32,19.9,118,203,5
14.11,167.4,Quentin Johnston,WR,LAC,29,19.1,117,200,12
14.11,167.5,Younghoe Koo,PK,ATL,99,21.0,112,210,5
14.12,167.5,Anthony Richardson Sr.,QB,IND,37,21.4,116,205,11
14.12,167.9,Joshua Karty,PK,LAR,24,6.2,151,180,8
14.12,168.0,Jack Bech,WR,LV,35,18.5,119,203,8
14.12,168.4,Calvin Austin III,WR,PIT,22,20.7,114,202,5
14.12,168.5,Kareem Hunt,RB,KC,41,29.7,91,210,10
15.01,168.9,Isaiah Likely,TE,BAL,19,28.4,97,210,7
15.01,169.2,Tyler Lockett,WR,TEN,46,16.8,125,191,10
15.01,169.2,Wil Lutz,PK,DEN,71,20.2,134,208,12
15.02,169.7,Woody Marks,RB,HOU,15,14.3,150,198,6
15.02,170.1,Tory Horton,WR,SEA,20,20.2,139,210,8
15.03,170.9,Jaxson Dart,QB,NYG,11,29.7,108,205,14
15.03,171.0,Justice Hill,RB,BAL,41,20.1,139,210,7
15.04,171.8,Brandon McManus,PK,GB,49,18.5,123,205,5
15.05,173.1,LA Chargers Defense,DEF,LAC,31,16.4,136,210,12
15.09,177.4,Darius Slayton,WR,NYG,17,17.6,142,206,14
16.10,190.4,Alec Pierce,WR,IND,11,14.8,158,210,11
