POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
106th of 116,Greg Newsome II,CB,0,52.2,52.1,44.9,54.0,571,213,12,346,25.2,A,6'1",192,-,NWESTERN,2021,1,26
-,Chris Edmonds,S,41,61.3,60.0,-,-,3,3,-,-,0.0,A,6'2",215,-,ARIZONA ST,2024,-,-
13th of 98,Ronnie Hickman Jr.,S,33,77.2,81.7,61.6,71.3,463,179,6,278,23.8,A,6'0",209,-,OHIO STATE,2023,-,-
67th of 98,Rayshawn Jenkins,S,28,52.5,42.8,51.4,58.0,550,210,27,313,31.5,A,6'1",200,4.5,MIAMI FL,2017,4,113
65th of 98,Damontae Kazee,S,23,60.8,73.6,-,56.4,313,101,-,212,32.2,A,5'11",174,4.5,S DIEGO ST,2017,5,149
-,Donovan McMillan,S,31,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",205,-,PITTSBURGH,2025,-,-
-,Myles Harden,S,26,33.1,51.8,60.0,31.5,53,18,1,34,23.7,A,6'0",200,-,S DAKOTA,2024,7,228
46th of 98,Grant Delpit,S,9,65.2,67.3,74.1,60.9,976,402,46,528,26.9,A,6'3",208,-,LSU,2020,2,44
-,Winston Reid,LB,59,51.8,45.6,60.3,61.7,144,90,7,47,0.0,A,6'1",230,-,WEBER ST,2024,-,-
76th of 84,Mohamoud Diabate,LB,43,51.9,63.2,51.7,48.1,581,273,44,264,24.2,A,6'4",225,-,UTAH,2023,-,-
-,Easton Mascarenas-Arnold,LB,42,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",231,-,USC,2025,-,-
-,Carson Schwesinger,LB,49,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",225,-,UCLA,2025,2,33
52nd of 84,Jerome Baker,LB,17,61.0,65.7,54.9,60.7,566,236,41,289,28.6,A,6'2",225,4.5,OHIO STATE,2018,3,73
9th of 84,Devin Bush,LB,30,79.2,86.4,77.5,57.9,497,273,29,195,27.1,A,5'11",234,-,MICHIGAN,2019,1,10
-,Nathaniel Watson,LB,40,66.2,61.7,58.1,68.0,55,36,2,17,24.9,IR,6'2",245,-,MISS STATE,2024,6,207
7th of 84,Jeremiah Owusu-Koramoah,LB,6,80.7,81.7,77.6,62.4,460,196,56,208,25.8,APUP,6'2",221,-,NOTRE DAME,2021,2,52
-,Adin Huntington,DI,86,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",281,-,TULANE,2025,-,-
