POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Claudin Cherelus,LB,53,63.3,60.8,71.9,61.1,158,84,6,68,0.0,A,6'2",230,-,ALCORN ST,2023,-,-
-,Krys Barnes,LB,40,63.1,71.8,63.1,58.0,205,74,18,113,27.3,A,6'2",229,-,UCLA,2020,-,-
69th of 84,Trevin Wallace,LB,32,56.0,46.9,61.5,64.2,582,285,36,261,22.5,A,6'2",241,-,KENTUCKY,2024,3,72
72nd of 84,Christian Rozeboom,LB,56,53.5,58.6,51.0,51.2,956,413,38,505,0.0,A,6'2",230,-,S DAK ST,2020,-,-
-,Jacoby Windmon,LB,41,50.5,55.5,64.0,52.7,128,61,11,56,0.0,A,6'2",250,-,MICH STATE,2024,-,-
118th of 118,LaBryan Ray,DI,93,33.0,31.5,46.4,63.6,626,350,276,0,27.7,A,6'2",283,-,ALABAMA,2022,-,-
-,Popo Aumavae,DI,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'3",315,-,OREGON,2024,-,-
-,Jared Harrison-Hunte,DI,75,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",294,-,SMU,2025,-,-
-,Cam'Ron Jackson,DI,55,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",342,-,FLORIDA,2025,5,140
108th of 118,Shy Tuttle,DI,99,42.7,33.5,51.4,97.6,610,372,238,0,29.8,A,6'3",300,-,TENNESSEE,2019,-,-
-,Jaiden Creumedy,DI,96,42.5,42.1,52.9,59.3,121,64,55,2,25.0,A,6'5",305,-,MISS STATE,2024,6,201
47th of 118,Bobby Brown III,DI,97,61.3,65.6,55.5,60.3,513,283,230,0,0.0,A,6'4",324,-,TEXAS A&M,2021,4,118
49th of 118,Tershawn Wharton,DI,92,60.8,49.3,71.9,47.3,780,251,514,15,0.0,A,6'1",280,-,MO S&T,2020,-,-
77th of 118,A'Shawn Robinson,DI,94,54.6,54.1,57.1,67.2,761,393,367,1,30.4,A,6'4",320,5.2,ALABAMA,2016,2,46
-,Sam Roberts,DI,74,68.7,73.9,52.6,-,24,10,14,-,0.0,A,6'5",300,-,NORTHWEST MISSOURI STATE,2022,6,201
-,Derrick Brown,DI,95,47.7,48.1,51.4,60.8,60,35,24,1,27.3,A,6'5",320,-,AUBURN,2020,1,7
-,J.J. Weaver,ED,47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",255,-,KENTUCKY,2025,-,-
98th of 119,DJ Johnson,ED,52,54.2,60.3,50.1,64.1,392,245,128,19,26.8,A,6'4",260,4.5,OREGON,2023,3,81
-,Mapalo Mwansa,ED,58,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,0'0",-,-,NO COLLEGE,2025,-,-
-,Princely Umanmielen,ED,33,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,6'4",255,-,OLE MISS,2025,3,77
-,Nic Scourton,ED,11,-,-,-,-,-,-,-,-,-,-,-,-,20.9,A,6'4",285,-,TEXAS A&M,2025,2,51
94th of 119,Pat Jones II,ED,91,55.8,69.4,50.7,48.2,459,112,315,32,26.9,A,6'5",264,-,PITTSBURGH,2021,3,91
85th of 119,D.J. Wonnum,ED,98,55.0,53.0,56.4,58.6,453,188,229,36,27.8,A,6'5",258,-,S CAROLINA,2020,4,117
-,Boogie Basham,ED,54,73.7,75.8,66.1,60.0,86,47,39,0,27.6,A,6'3",274,-,WAKE,2021,2,61
-,Thomas Incoom,ED,48,77.9,65.6,50.0,91.7,41,17,20,4,26.5,A,6'2",265,4.7,C MICHIGAN,2023,-,-
