POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
62nd of 98,Camryn Bynum,S,0,61.6,67.8,50.7,58.6,1056,324,8,724,27.0,A,6'0",200,-,CAL,2021,4,125
-,Rodney Thomas II,S,25,56.5,56.1,-,57.8,98,53,-,45,27.1,A,6'2",196,-,YALE,2022,7,240
28th of 98,Nick Cross,S,20,70.3,80.2,51.0,64.3,1156,508,19,629,23.9,A,6'0",212,-,MARYLAND,2022,3,96
-,Alex Johnson,S,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",190,-,UCLA,2024,-,-
-,Jake Chaney,LB,47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",233,-,WISCONSIN,2025,-,-
-,Joseph Vaughn,LB,49,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",238,-,UCLA,2025,-,-
-,Solomon DeShields,LB,53,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",235,-,TEXAS A&M,2025,-,-
-,Joe Bachie,LB,48,63.7,69.2,54.2,59.9,36,13,4,19,27.4,A,6'2",235,-,MICH STATE,2020,-,-
-,Jaylon Carlies,LB,57,69.0,52.9,62.0,83.1,242,146,10,86,23.9,A,6'3",219,-,MISSOURI,2024,5,152
-,Cameron McGrone,LB,59,60.1,60.0,-,-,1,1,-,-,25.2,A,6'1",236,-,MICHIGAN,2021,5,178
-,Jacob Phillips,LB,54,-,-,-,-,-,-,-,-,-,-,-,-,26.3,IR,6'3",228,-,LSU,2020,3,97
-,Austin Ajiake,LB,58,-,-,-,-,-,-,-,-,-,-,-,-,25.1,A,6'2",220,-,UNLV,2023,-,-
52nd of 84,Zaire Franklin,LB,44,61.0,72.3,62.3,48.7,1157,509,52,596,29.1,A,6'0",235,-,SYRACUSE,2018,7,235
-,Segun Olubi,LB,50,86.4,92.6,-,36.0,21,17,-,4,0.0,A,6'2",225,-,S DIEGO ST,2022,-,-
-,Josh Tupou,DI,69,52.1,55.9,50.6,-,61,28,33,-,31.3,A,6'3",340,-,COLORADO,2017,-,-
-,Eric Johnson,DI,98,54.2,50.4,59.3,62.3,178,109,69,0,0.0,A,6'4",299,-,MO STATE,2022,5,159
-,Devonta Davis,DI,61,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",296,-,FAU,2025,-,-
-,Adetomiwa Adebawore,DI,95,57.9,56.1,63.6,-,137,61,76,-,24.4,A,6'2",282,4.5,NWESTERN,2023,4,111
-,Tim Smith,DI,93,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",314,-,ALABAMA,2025,6,192
90th of 118,Neville Gallimore,DI,92,49.9,47.1,56.0,60.0,308,165,143,0,28.5,A,6'2",302,-,OKLAHOMA,2020,3,82
15th of 118,Grover Stewart,DI,90,76.0,78.7,63.4,60.8,690,354,335,1,31.8,A,6'4",314,-,ALBANY ST,2017,4,144
7th of 118,DeForest Buckner,DI,99,81.9,73.9,77.1,61.2,579,244,332,3,31.4,A,6'7",295,5.0,OREGON,2016,1,7
-,Marcus Haynes,ED,96,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",240,-,DOMINION,2023,-,-
-,Desmond Little,ED,78,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",240,-,UAB,2025,-,-
-,Isaiah Land,ED,55,49.1,48.3,57.9,60.0,78,26,51,1,25.5,A,6'3",225,4.6,FL A&M,2023,-,-
-,Samson Ebukam,ED,52,-,-,-,-,-,-,-,-,-,-,-,-,30.2,A,6'3",245,-,E WASHINGTON,2017,4,125
-,JT Tuimoloau,ED,91,-,-,-,-,-,-,-,-,-,-,-,-,22.2,A,6'5",269,-,OHIO STATE,2025,2,45
29th of 119,Laiatu Latu,ED,97,72.1,63.4,72.1,49.9,618,235,375,8,24.6,A,6'5",265,-,UCLA,2024,1,15
58th of 119,Tyquan Lewis,ED,94,65.0,70.4,55.8,63.4,355,162,190,3,30.5,A,6'3",267,-,OHIO STATE,2018,2,64
-,Durell Nchami,ED,74,-,-,-,-,-,-,-,-,-,-,-,-,25.5,A,6'4",260,-,MARYLAND,2023,-,-
50th of 119,Kwity Paye,ED,51,66.8,67.4,57.8,69.8,667,272,387,8,26.7,A,6'2",265,-,MICHIGAN,2021,1,21
